Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;5.900000;39.300000;12.840000;;6.000000;9.900000;8.980000;;1.100000;1.200000;1.120000
2000;11.000000;70.000000;46.720000;;12.900000;70.200000;51.350000;;4.000000;6.900000;5.110000
3000;13.700000;108.300000;66.480000;;18.200000;93.000000;71.040000;;4.900000;9.900000;5.890000
4000;61.200000;134.800000;109.160000;;64.900000;131.200000;106.550000;;7.200000;13.000000;9.000000
5000;94.300000;176.000000;130.690000;;103.000000;198.000000;149.200000;;7.100000;16.500000;10.800000
6000;82.200000;175.500000;145.120000;;106.100000;175.900000;147.030000;;9.200000;17.900000;12.300000
7000;103.800000;179.100000;134.160000;;99.500000;174.700000;133.340000;;9.500000;18.400000;12.030000
8000;50.300000;185.800000;134.860000;;57.500000;195.900000;141.980000;;10.400000;18.500000;12.700000
9000;133.500000;193.400000;167.920000;;132.900000;205.200000;172.280000;;11.900000;15.700000;13.890000
10000;122.200000;211.200000;182.210000;;160.300000;219.400000;193.850000;;3.800000;25.200000;13.960000
11000;108.300000;217.800000;181.380000;;108.600000;204.300000;181.940000;;3.000000;17.700000;5.520000
12000;169.800000;240.800000;208.000000;;190.600000;206.200000;197.990000;;3.700000;16.700000;5.380000
13000;165.900000;287.800000;230.180000;;190.900000;243.200000;221.460000;;3.700000;11.900000;6.400000
14000;192.300000;373.700000;269.580000;;203.200000;377.300000;266.250000;;4.400000;13.600000;7.180000
15000;182.800000;400.900000;294.450000;;219.300000;375.700000;292.020000;;4.100000;12.100000;5.780000
16000;219.700000;346.000000;292.030000;;205.300000;319.000000;254.760000;;4.700000;14.000000;8.180000
17000;228.100000;349.700000;309.300000;;215.200000;343.800000;311.500000;;4.400000;24.200000;7.020000
18000;265.400000;376.000000;324.910000;;270.800000;356.800000;329.640000;;3.200000;12.100000;4.840000
19000;299.300000;377.500000;342.560000;;295.700000;382.100000;345.070000;;3.400000;28.200000;6.030000
20000;308.800000;406.600000;362.260000;;312.900000;407.800000;360.240000;;3.500000;29.600000;6.230000
21000;301.800000;399.900000;360.060000;;287.100000;400.500000;356.140000;;3.500000;14.200000;5.440000
22000;157.900000;397.200000;341.160000;;180.400000;386.200000;313.780000;;3.500000;13.300000;6.570000
23000;278.200000;478.600000;353.930000;;201.600000;411.900000;326.390000;;3.800000;6.000000;4.360000
24000;272.300000;458.600000;389.840000;;246.900000;414.400000;381.480000;;4.100000;20.800000;5.930000
25000;334.600000;508.300000;423.850000;;382.700000;676.700000;447.560000;;4.400000;18.800000;9.920000
26000;256.700000;563.400000;430.680000;;321.500000;557.200000;410.150000;;4.400000;26.000000;9.280000
27000;256.300000;477.900000;358.260000;;287.900000;429.400000;361.570000;;4.400000;26.300000;6.790000
28000;201.200000;527.800000;357.080000;;255.400000;511.300000;372.250000;;4.600000;25.400000;8.860000
29000;316.100000;505.600000;399.040000;;349.100000;435.300000;392.690000;;4.600000;28.500000;9.080000
30000;325.000000;516.500000;410.630000;;375.400000;497.900000;430.270000;;8.000000;12.400000;8.860000
31000;234.600000;524.300000;402.050000;;320.300000;501.100000;411.370000;;4.900000;25.700000;8.580000
32000;306.300000;574.300000;467.300000;;305.400000;576.600000;460.630000;;4.900000;17.700000;6.860000
33000;253.600000;577.300000;416.630000;;247.100000;428.000000;384.720000;;4.900000;11.800000;5.970000
34000;372.200000;538.900000;462.580000;;247.900000;524.700000;451.200000;;5.200000;33.300000;8.280000
35000;216.600000;647.600000;464.520000;;242.500000;613.700000;472.250000;;5.100000;9.200000;6.350000
36000;383.600000;565.500000;490.640000;;322.600000;546.600000;468.160000;;5.400000;7.400000;6.170000
37000;310.300000;559.400000;455.990000;;345.100000;522.300000;450.170000;;5.400000;5.900000;5.630000
38000;427.300000;567.900000;502.930000;;405.800000;561.200000;502.720000;;5.600000;6.000000;5.830000
39000;392.900000;697.400000;523.020000;;377.200000;668.900000;536.400000;;5.900000;22.000000;8.250000
40000;448.600000;605.900000;503.820000;;392.800000;555.100000;495.990000;;6.000000;39.100000;9.800000
41000;338.800000;594.100000;484.820000;;356.900000;558.700000;484.620000;;6.100000;6.300000;6.210000
42000;213.600000;596.100000;453.100000;;197.200000;598.600000;493.420000;;5.900000;40.400000;13.110000
43000;178.900000;611.800000;480.260000;;166.700000;603.600000;478.300000;;6.000000;8.100000;6.700000
44000;367.200000;572.700000;494.310000;;417.200000;585.700000;513.440000;;6.900000;11.900000;9.500000
45000;311.600000;613.100000;495.380000;;319.300000;590.000000;489.710000;;6.200000;6.800000;6.600000
46000;517.900000;790.900000;604.160000;;520.900000;669.900000;580.540000;;8.800000;48.800000;13.830000
47000;469.700000;638.700000;571.390000;;433.200000;617.600000;557.140000;;6.500000;12.500000;7.430000
48000;487.900000;664.900000;576.760000;;552.100000;628.200000;584.160000;;6.700000;44.800000;10.700000
49000;527.300000;729.900000;604.910000;;493.400000;701.200000;615.720000;;6.900000;13.400000;8.900000
50000;511.000000;710.900000;605.170000;;557.400000;660.500000;602.410000;;6.700000;13.100000;8.290000
51000;294.100000;722.900000;593.350000;;352.800000;668.300000;583.450000;;7.200000;13.300000;9.400000
52000;483.300000;706.900000;602.650000;;479.900000;648.900000;598.660000;;7.300000;15.300000;10.700000
53000;209.800000;756.200000;581.460000;;210.500000;757.200000;573.900000;;7.300000;52.100000;12.790000
54000;452.800000;782.600000;634.800000;;450.200000;697.400000;604.310000;;7.200000;16.500000;10.770000
55000;577.600000;1119.900000;749.190000;;608.700000;1064.700000;756.930000;;7.600000;19.100000;12.910000
56000;585.600000;768.400000;658.180000;;529.000000;724.100000;652.260000;;7.400000;20.200000;10.410000
57000;606.200000;874.400000;737.320000;;598.800000;903.000000;737.760000;;7.400000;58.400000;18.040000
