Caso de Prueba,Algoritmo,Tamano Array,Elemento Buscado,Indice Esperado,Indice Obtenido,Tiempo (us),Correcto
"Array Grande - Inexistente Menor",Lineal,1000,-10,-1,-1,13,SI
"Array Grande - Inexistente Mayor",Lineal,1000,1010,-1,-1,13,SI
"Array Grande - Inexistente Medio",Lineal,1000,1000,-1,-1,13,SI
"Array Grande - Inexistente Menor",Binaria,1000,-10,-1,-1,0,SI
"Array Grande - Inexistente Mayor",Binaria,1000,1010,-1,-1,0,SI
"Array Grande - Inexistente Medio",Binaria,1000,1000,-1,-1,0,SI
"Array Grande - Inexistente Menor",BinariaPrimerOcurrencia,1000,-10,-1,-1,0,SI
"Array Grande - Inexistente Mayor",BinariaPrimerOcurrencia,1000,1010,-1,-1,0,SI
"Array Grande - Inexistente Medio",BinariaPrimerOcurrencia,1000,1000,-1,-1,0,SI
"Array Grande - Inexistente Menor",Interpolacion,1000,-10,-1,-1,0,SI
"Array Grande - Inexistente Mayor",Interpolacion,1000,1010,-1,-1,0,SI
"Array Grande - Inexistente Medio",Interpolacion,1000,1000,-1,-1,0,SI
