Caso de Prueba,Algoritmo,Tamano Array,Elemento Buscado,Indice Esperado,Indice Obtenido,Tiempo (us),Correcto
"Array Grande - Principio",Lineal,1000,0,0,0,0,SI
"Array Grande - Medio",Lineal,1000,500,500,500,7,SI
"Array Grande - Final",Lineal,1000,999,999,999,16,SI
"Array Grande - Principio",Binaria,1000,0,0,0,0,SI
"Array Grande - Medio",Binaria,1000,500,500,500,0,SI
"Array Grande - Final",Binaria,1000,999,999,999,0,SI
"Array Grande - Principio",BinariaPrimerOcurrencia,1000,0,0,0,0,SI
"Array Grande - Medio",BinariaPrimerOcurrencia,1000,500,500,500,0,SI
"Array Grande - Final",BinariaPrimerOcurrencia,1000,999,999,999,0,SI
"Array Grande - Principio",Interpolacion,1000,0,0,0,0,SI
"Array Grande - Medio",Interpolacion,1000,500,500,500,0,SI
"Array Grande - Final",Interpolacion,1000,999,999,999,0,SI
