Caso de Prueba,Algoritmo,Tamano Array,Elemento Buscado,Indice Esperado,Indice Obtenido,Tiempo (us),Correcto
"Array Repetidos - Buscar Repetido",Lineal,1000,500,500,500,9,SI
"Array Repetidos - Buscar Antes",Lineal,1000,499,499,499,10,SI
"Array Repetidos - Buscar Despues",Lineal,1000,501,550,550,11,SI
"Array Repetidos - Buscar Repetido",Binaria,1000,500,530,530,0,SI
"Array Repetidos - Buscar Antes",Binaria,1000,499,499,499,0,SI
"Array Repetidos - Buscar Despues",Binaria,1000,501,550,550,0,SI
"Array Repetidos - Buscar Repetido",BinariaPrimerOcurrencia,1000,500,500,500,0,SI
"Array Repetidos - Buscar Antes",BinariaPrimerOcurrencia,1000,499,499,499,0,SI
"Array Repetidos - Buscar Despues",BinariaPrimerOcurrencia,1000,501,550,550,0,SI
"Array Repetidos - Buscar Repetido",Interpolacion,1000,500,525,525,0,SI
"Array Repetidos - Buscar Antes",Interpolacion,1000,499,499,499,0,SI
"Array Repetidos - Buscar Despues",Interpolacion,1000,501,550,550,1,SI
"Array Repetidos - PrimerOcurrencia Check",BinariaPrimerOcurrencia,1000,500,500,500,0,SI
