Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;6.000000;12.500000;6.680000;;6.000000;6.200000;6.060000;;0.600000;0.800000;0.680000
2000;7.500000;11.100000;7.940000;;7.500000;7.700000;7.600000;;0.800000;0.800000;0.800000
3000;8.900000;14.600000;10.210000;;8.800000;15.300000;9.580000;;0.800000;1.600000;0.890000
4000;10.000000;13.400000;10.440000;;10.000000;10.200000;10.090000;;0.800000;0.900000;0.880000
5000;12.300000;16.600000;12.780000;;12.300000;12.400000;12.330000;;0.900000;1.000000;0.980000
6000;13.900000;20.300000;14.570000;;13.800000;14.000000;13.920000;;1.100000;1.200000;1.110000
7000;16.100000;118.400000;26.400000;;16.100000;16.400000;16.240000;;1.300000;1.500000;1.340000
8000;17.900000;34.200000;19.640000;;18.100000;18.400000;18.230000;;1.500000;1.900000;1.650000
9000;20.900000;63.000000;25.410000;;21.400000;24.200000;21.860000;;1.900000;2.300000;2.060000
10000;22.400000;43.900000;24.580000;;22.800000;23.400000;23.040000;;2.000000;2.600000;2.210000
11000;23.700000;43.700000;25.820000;;24.400000;25.400000;24.630000;;2.100000;2.200000;2.170000
12000;26.000000;42.900000;27.760000;;26.500000;27.300000;26.830000;;2.500000;3.000000;2.720000
13000;27.800000;100.000000;40.320000;;28.400000;247.000000;55.530000;;2.700000;7.700000;3.950000
14000;28.900000;49.300000;31.160000;;29.800000;30.700000;30.220000;;3.000000;3.900000;3.370000
15000;30.500000;52.800000;32.920000;;31.900000;32.400000;32.140000;;3.200000;4.000000;3.420000
16000;32.200000;58.100000;36.450000;;32.500000;50.200000;35.300000;;2.600000;7.700000;3.300000
17000;36.400000;79.300000;41.540000;;36.800000;37.600000;37.110000;;2.600000;3.000000;2.750000
18000;38.300000;49.300000;39.530000;;38.800000;39.600000;39.100000;;2.700000;3.000000;2.830000
19000;40.100000;298.400000;69.330000;;41.000000;134.500000;50.560000;;2.900000;3.300000;3.000000
20000;42.500000;105.400000;57.910000;;44.700000;70.600000;55.580000;;4.300000;7.700000;5.680000
21000;44.900000;138.100000;56.090000;;46.500000;343.900000;77.390000;;4.500000;5.500000;4.950000
22000;46.300000;76.300000;49.720000;;48.800000;56.200000;50.050000;;4.600000;5.600000;5.050000
23000;49.000000;80.900000;53.580000;;51.100000;52.800000;51.890000;;4.400000;5.800000;5.190000
24000;49.500000;69.200000;53.090000;;50.400000;53.700000;51.010000;;3.500000;5.200000;3.780000
25000;51.700000;393.600000;94.060000;;52.400000;134.900000;64.150000;;3.500000;5.100000;3.890000
26000;53.200000;96.400000;60.900000;;54.000000;73.200000;57.300000;;3.700000;5.400000;4.030000
27000;55.300000;80.500000;58.550000;;56.000000;56.900000;56.330000;;3.800000;4.100000;3.860000
28000;57.000000;101.000000;62.660000;;57.600000;72.800000;61.240000;;3.900000;6.700000;4.290000
29000;58.800000;85.100000;63.040000;;59.700000;62.400000;60.260000;;3.900000;4.400000;4.090000
30000;60.900000;145.200000;70.930000;;61.700000;378.900000;95.810000;;4.000000;4.400000;4.130000
31000;62.500000;143.300000;73.570000;;62.600000;379.900000;95.740000;;4.100000;4.500000;4.250000
32000;64.000000;103.900000;68.600000;;64.800000;73.100000;66.390000;;4.200000;4.700000;4.390000
33000;70.600000;135.800000;77.840000;;70.800000;77.200000;72.260000;;4.400000;4.800000;4.530000
34000;71.700000;109.200000;79.120000;;72.700000;100.200000;76.440000;;4.500000;5.600000;4.730000
35000;74.200000;101.700000;78.580000;;74.500000;79.000000;75.460000;;4.600000;16.200000;6.030000
36000;76.300000;109.000000;83.060000;;76.500000;93.500000;79.010000;;4.800000;6.400000;5.030000
37000;77.900000;447.000000;120.600000;;78.700000;225.400000;95.480000;;4.800000;5.300000;4.910000
38000;235.500000;319.800000;286.950000;;280.700000;562.900000;319.610000;;5.000000;6.700000;5.380000
39000;289.600000;331.600000;299.780000;;288.500000;329.100000;299.740000;;5.400000;7.200000;5.650000
40000;297.200000;345.400000;309.140000;;298.300000;356.400000;310.460000;;5.400000;7.900000;5.790000
41000;292.600000;351.000000;304.850000;;290.800000;323.900000;306.420000;;5.400000;5.800000;5.600000
42000;309.800000;361.200000;325.440000;;308.100000;402.800000;331.050000;;5.600000;8.200000;6.040000
43000;285.800000;587.900000;348.800000;;275.400000;388.900000;317.630000;;5.600000;40.900000;9.590000
44000;272.300000;366.000000;303.840000;;269.900000;330.100000;293.910000;;5.900000;10.700000;7.170000
45000;290.200000;362.500000;320.950000;;290.200000;387.100000;317.900000;;5.900000;8.900000;6.480000
