Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;6.200000;161.800000;22.500000;;6.100000;19.400000;7.570000;;0.700000;0.700000;0.700000
2000;7.600000;34.600000;10.330000;;7.600000;7.800000;7.720000;;0.700000;0.800000;0.750000
3000;9.100000;35.600000;11.820000;;9.200000;9.400000;9.240000;;0.800000;0.900000;0.830000
4000;10.300000;35.400000;13.120000;;10.200000;10.400000;10.310000;;0.800000;0.900000;0.870000
5000;12.700000;52.000000;16.640000;;12.600000;13.200000;12.760000;;1.000000;1.100000;1.020000
6000;14.300000;36.500000;16.570000;;14.300000;15.200000;14.470000;;1.100000;1.200000;1.150000
7000;16.300000;34.600000;18.240000;;16.300000;17.000000;16.520000;;1.200000;1.300000;1.280000
8000;18.000000;126.900000;31.110000;;18.000000;35.900000;20.160000;;1.400000;11.000000;2.410000
9000;20.800000;191.700000;38.330000;;21.100000;21.600000;21.310000;;1.700000;2.000000;1.790000
10000;22.200000;46.400000;26.660000;;22.700000;24.300000;23.190000;;1.900000;2.400000;2.080000
11000;24.300000;44.900000;26.450000;;24.900000;25.800000;25.190000;;2.300000;2.700000;2.540000
12000;26.100000;49.800000;28.660000;;26.900000;32.400000;28.060000;;2.700000;3.200000;2.950000
13000;27.400000;62.900000;31.110000;;28.400000;29.500000;28.710000;;2.900000;3.200000;3.030000
14000;29.400000;82.400000;36.270000;;30.500000;244.000000;52.150000;;3.000000;5.800000;3.650000
15000;31.400000;78.400000;36.300000;;32.700000;35.100000;33.240000;;3.200000;3.800000;3.490000
16000;33.300000;50.400000;35.550000;;34.600000;45.400000;36.040000;;3.500000;9.200000;4.320000
17000;37.600000;94.500000;44.560000;;39.200000;50.900000;41.330000;;3.800000;4.400000;4.130000
18000;40.000000;51.300000;41.540000;;41.700000;47.800000;43.190000;;3.900000;4.600000;4.280000
19000;41.500000;53.400000;42.910000;;42.900000;45.100000;43.710000;;3.900000;4.400000;4.070000
20000;43.400000;79.800000;47.250000;;45.100000;46.400000;45.770000;;4.400000;5.000000;4.740000
21000;44.900000;313.400000;75.350000;;46.900000;133.600000;57.750000;;4.600000;5.400000;5.070000
22000;58.000000;119.700000;64.910000;;61.000000;72.000000;65.140000;;5.100000;6.900000;6.060000
23000;48.700000;168.900000;61.950000;;50.500000;353.100000;82.540000;;4.900000;6.000000;5.500000
24000;51.000000;77.000000;56.300000;;53.200000;57.700000;54.500000;;4.400000;6.000000;5.450000
25000;52.700000;95.200000;58.100000;;53.800000;60.800000;56.240000;;3.900000;13.100000;6.300000
26000;54.100000;106.100000;59.700000;;54.800000;64.700000;56.240000;;3.800000;4.000000;3.900000
27000;56.100000;405.400000;92.340000;;57.000000;144.600000;67.630000;;3.800000;4.300000;4.090000
28000;58.600000;83.400000;61.730000;;61.000000;62.700000;61.690000;;5.000000;7.000000;6.000000
29000;59.500000;99.700000;64.060000;;60.600000;65.900000;61.790000;;4.200000;9.700000;4.890000
30000;62.000000;84.300000;66.080000;;62.900000;71.500000;66.230000;;4.100000;8.800000;4.950000
31000;63.700000;78.100000;66.310000;;63.900000;78.500000;67.850000;;4.100000;9.000000;5.190000
32000;65.300000;196.000000;79.060000;;66.600000;464.100000;107.250000;;4.300000;4.800000;4.530000
33000;72.200000;165.400000;90.430000;;73.100000;452.500000;111.800000;;4.300000;5.300000;4.750000
34000;73.500000;134.500000;82.640000;;74.900000;107.800000;79.950000;;4.500000;6.600000;5.060000
35000;75.200000;105.400000;79.510000;;76.200000;88.800000;78.940000;;4.600000;5.500000;5.040000
36000;77.800000;106.400000;81.240000;;78.400000;86.500000;80.360000;;4.600000;5.800000;5.130000
37000;80.200000;101.200000;82.750000;;80.600000;83.500000;81.740000;;4.800000;5.600000;5.200000
38000;81.800000;234.200000;100.690000;;82.700000;518.000000;128.230000;;5.000000;10.700000;5.820000
39000;83.000000;225.900000;99.150000;;84.000000;552.700000;132.140000;;5.100000;6.000000;5.480000
40000;85.000000;119.200000;89.140000;;85.700000;92.900000;87.320000;;5.200000;8.700000;5.850000
41000;86.600000;150.800000;95.180000;;88.500000;106.200000;91.250000;;5.200000;6.100000;5.610000
42000;89.200000;116.800000;95.200000;;89.000000;115.100000;94.980000;;5.300000;8.300000;6.030000
43000;91.800000;117.700000;97.880000;;92.000000;106.800000;94.750000;;5.500000;7.600000;6.080000
44000;93.200000;120.800000;100.600000;;94.000000;107.300000;96.380000;;5.400000;9.200000;6.500000
45000;95.800000;133.800000;101.170000;;96.500000;107.800000;99.640000;;5.700000;8.000000;6.280000
46000;97.100000;124.600000;104.570000;;97.100000;105.000000;99.570000;;5.800000;6.400000;6.130000
47000;98.700000;160.300000;106.710000;;100.900000;110.900000;102.820000;;5.900000;8.700000;6.600000
48000;99.800000;154.500000;107.370000;;100.800000;112.700000;104.180000;;6.000000;6.900000;6.430000
49000;100.300000;135.800000;108.470000;;103.200000;121.000000;110.110000;;6.400000;10.700000;8.110000
50000;103.300000;769.500000;183.920000;;103.300000;293.600000;143.900000;;6.100000;7.100000;6.670000
51000;265.800000;392.400000;333.840000;;327.000000;379.000000;340.940000;;6.500000;8.400000;7.320000
52000;300.700000;463.700000;328.430000;;301.000000;694.000000;353.600000;;6.700000;7.500000;7.030000
53000;301.800000;409.700000;327.900000;;303.800000;359.700000;321.350000;;6.700000;7.800000;7.180000
54000;312.400000;366.500000;329.300000;;314.200000;377.200000;326.500000;;6.700000;7.600000;7.280000
55000;309.300000;678.800000;372.390000;;310.700000;408.300000;340.720000;;6.900000;7.900000;7.300000
56000;321.000000;469.500000;348.300000;;320.200000;342.100000;332.010000;;6.900000;7.800000;7.400000
57000;317.400000;367.200000;338.550000;;319.900000;341.700000;334.800000;;7.200000;8.100000;7.670000
58000;328.400000;508.100000;349.310000;;328.900000;720.600000;372.950000;;7.100000;8.000000;7.650000
59000;322.000000;456.900000;353.800000;;322.900000;472.500000;354.890000;;7.200000;8.300000;7.760000
60000;340.600000;448.500000;355.560000;;342.800000;352.700000;346.660000;;7.300000;8.100000;7.830000
61000;329.500000;742.900000;387.550000;;328.900000;485.200000;350.420000;;7.500000;8.200000;7.790000
62000;337.700000;517.700000;377.830000;;340.100000;414.300000;354.190000;;7.600000;8.800000;8.120000
63000;346.900000;381.400000;360.550000;;348.300000;388.500000;361.410000;;7.600000;8.400000;8.070000
64000;342.800000;469.900000;388.730000;;344.600000;447.900000;378.400000;;8.100000;14.700000;10.110000
65000;312.500000;506.900000;337.580000;;315.400000;824.100000;370.900000;;7.800000;10.700000;8.570000
66000;457.100000;636.500000;548.620000;;477.700000;617.000000;536.700000;;8.400000;10.900000;8.910000
67000;526.500000;626.200000;561.550000;;506.000000;698.500000;570.000000;;8.100000;10.400000;8.970000
68000;544.800000;683.600000;584.790000;;518.200000;673.200000;571.440000;;8.100000;10.900000;8.820000
69000;535.600000;589.900000;555.080000;;505.500000;569.000000;548.250000;;8.200000;9.400000;8.790000
70000;542.200000;687.100000;586.410000;;542.200000;665.500000;573.740000;;8.400000;15.800000;9.570000
71000;532.500000;659.900000;588.470000;;538.800000;630.100000;574.830000;;8.400000;9.300000;9.040000
72000;562.500000;985.800000;645.800000;;574.200000;712.600000;622.230000;;8.800000;9.500000;9.210000
73000;558.700000;611.700000;579.100000;;560.900000;616.900000;578.210000;;8.600000;9.700000;9.120000
74000;545.600000;724.000000;584.030000;;555.600000;641.100000;575.540000;;8.700000;9.500000;9.230000
75000;573.700000;739.800000;622.430000;;582.600000;707.900000;618.960000;;8.900000;11.000000;9.460000
76000;577.800000;632.400000;607.170000;;578.700000;680.300000;610.630000;;9.000000;22.300000;11.340000
77000;573.100000;813.400000;608.790000;;576.800000;1119.200000;646.060000;;9.000000;10.500000;9.550000
78000;589.900000;705.100000;628.360000;;593.000000;696.700000;635.020000;;9.100000;10.100000;9.700000
79000;611.900000;699.300000;649.190000;;607.200000;715.100000;655.550000;;9.200000;11.100000;9.960000
80000;777.800000;923.700000;832.230000;;810.700000;901.600000;854.720000;;9.300000;12.400000;10.130000
81000;816.800000;901.200000;851.890000;;834.800000;900.700000;854.990000;;9.500000;10.300000;9.910000
82000;845.800000;1116.700000;903.310000;;848.300000;1099.200000;894.720000;;9.700000;18.900000;12.210000
83000;860.500000;1094.700000;903.720000;;860.500000;961.800000;883.540000;;9.700000;10.600000;10.180000
84000;877.000000;1019.200000;907.000000;;888.500000;970.800000;904.350000;;9.700000;14.700000;10.620000
85000;832.500000;1194.900000;886.670000;;837.100000;1060.300000;873.080000;;9.800000;61.900000;15.480000
86000;765.400000;992.400000;812.130000;;763.400000;822.300000;795.130000;;10.100000;14.400000;11.300000
87000;764.400000;991.300000;815.200000;;758.500000;919.200000;815.150000;;10.100000;13.400000;10.840000
88000;898.200000;1138.000000;969.260000;;881.800000;1135.800000;958.810000;;10.200000;11.800000;10.540000
89000;891.700000;1114.300000;942.160000;;866.700000;1026.600000;932.960000;;10.300000;11.800000;11.100000
90000;933.700000;1175.300000;985.350000;;942.500000;1241.900000;1013.700000;;10.900000;11.800000;11.220000
91000;909.800000;1121.200000;960.870000;;889.500000;1073.300000;962.070000;;11.100000;17.400000;12.250000
92000;925.900000;1212.600000;980.950000;;935.700000;1120.800000;983.710000;;11.200000;13.600000;11.640000
93000;946.300000;1304.300000;1015.290000;;942.500000;1131.100000;977.710000;;10.700000;14.000000;11.300000
94000;982.000000;1411.700000;1072.860000;;908.400000;1455.500000;1087.640000;;10.800000;21.800000;13.090000
95000;949.300000;1125.100000;992.260000;;926.600000;1144.000000;986.520000;;11.500000;12.900000;11.820000
96000;979.700000;1293.700000;1086.680000;;974.400000;1189.300000;1037.890000;;11.100000;16.100000;12.390000
97000;963.900000;1110.200000;1012.790000;;962.500000;1168.200000;1035.750000;;11.200000;18.600000;12.230000
98000;977.400000;1346.600000;1081.440000;;970.500000;1279.500000;1055.900000;;11.200000;26.000000;13.830000
99000;981.800000;1247.500000;1052.590000;;982.100000;1106.500000;1019.580000;;11.400000;13.400000;11.700000
100000;1004.500000;1222.900000;1057.150000;;1008.900000;1261.400000;1055.830000;;11.700000;15.400000;12.670000
