Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;6.200000;26.300000;8.720000;;6.200000;10.400000;6.960000;;0.600000;1.300000;0.720000
2000;7.600000;11.100000;8.010000;;7.600000;8.000000;7.730000;;0.700000;0.800000;0.740000
3000;9.100000;12.500000;9.560000;;9.100000;9.400000;9.230000;;0.800000;0.900000;0.820000
4000;10.200000;11.900000;10.470000;;10.200000;10.400000;10.310000;;0.900000;1.000000;0.950000
5000;12.600000;15.900000;13.000000;;12.600000;13.000000;12.730000;;1.000000;1.100000;1.030000
6000;14.300000;20.500000;15.250000;;14.300000;14.600000;14.410000;;1.100000;1.300000;1.180000
7000;16.500000;21.500000;17.120000;;16.700000;19.600000;17.100000;;1.400000;1.800000;1.570000
8000;18.700000;22.800000;19.210000;;18.900000;19.500000;19.070000;;1.500000;1.700000;1.580000
9000;22.200000;35.900000;23.700000;;22.800000;27.600000;23.670000;;2.300000;2.700000;2.490000
10000;22.600000;186.200000;39.350000;;23.100000;170.100000;37.920000;;1.900000;2.800000;2.120000
11000;24.700000;188.900000;41.320000;;25.200000;26.200000;25.500000;;2.000000;2.300000;2.100000
12000;26.300000;50.300000;28.930000;;27.000000;30.300000;27.570000;;2.300000;2.600000;2.400000
13000;28.100000;53.400000;30.780000;;28.800000;36.400000;29.890000;;2.600000;3.200000;2.840000
14000;30.100000;236.800000;51.320000;;31.000000;37.100000;32.620000;;3.300000;8.200000;3.940000
15000;31.800000;60.100000;34.790000;;33.100000;48.200000;34.940000;;3.500000;4.300000;3.810000
16000;33.600000;48.600000;36.790000;;35.400000;47.100000;37.560000;;3.800000;6.400000;4.330000
17000;37.700000;87.300000;43.600000;;39.600000;43.500000;40.260000;;3.700000;4.400000;4.100000
18000;39.800000;64.900000;42.920000;;41.300000;59.800000;43.470000;;4.100000;4.700000;4.410000
19000;41.900000;70.900000;46.310000;;43.700000;59.500000;45.890000;;4.000000;4.900000;4.570000
20000;43.900000;55.400000;45.550000;;46.200000;50.200000;46.870000;;4.600000;5.400000;5.080000
21000;46.400000;90.700000;51.830000;;48.300000;53.400000;49.460000;;4.800000;5.600000;5.210000
22000;48.400000;64.200000;52.480000;;50.500000;63.500000;53.420000;;4.800000;7.000000;5.510000
23000;50.700000;64.100000;53.170000;;52.500000;54.000000;53.100000;;4.800000;5.900000;5.290000
24000;52.700000;86.800000;56.890000;;55.100000;66.600000;56.950000;;5.500000;7.400000;6.080000
25000;53.900000;64.300000;56.110000;;56.300000;64.800000;58.430000;;5.200000;6.100000;5.760000
26000;57.000000;86.300000;61.760000;;60.000000;61.600000;60.750000;;5.300000;6.500000;5.980000
27000;59.700000;93.800000;64.240000;;62.000000;65.900000;63.240000;;5.700000;6.600000;6.270000
28000;60.700000;74.900000;63.820000;;63.900000;67.100000;65.340000;;6.500000;7.000000;6.670000
29000;63.000000;98.700000;68.610000;;65.100000;68.800000;67.070000;;5.300000;7.400000;6.370000
30000;64.900000;81.100000;69.270000;;68.600000;73.000000;69.450000;;6.900000;10.200000;7.460000
31000;67.500000;98.400000;73.640000;;69.700000;74.900000;72.200000;;5.600000;9.000000;7.130000
32000;70.200000;85.300000;72.440000;;72.600000;82.400000;74.810000;;6.200000;8.000000;7.370000
33000;74.300000;115.100000;81.100000;;78.400000;97.200000;80.830000;;6.200000;7.900000;7.140000
34000;77.700000;143.100000;85.410000;;80.700000;92.100000;83.950000;;5.700000;8.600000;7.350000
35000;78.100000;99.700000;83.070000;;80.600000;87.200000;84.120000;;6.200000;8.500000;7.780000
