Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;1.200000;4.700000;2.340000;;1.000000;5.000000;2.030000;;0.700000;3.300000;1.720000
2000;1.200000;4.300000;2.820000;;1.200000;5.500000;3.330000;;0.800000;3.600000;2.230000
3000;0.900000;4.500000;3.300000;;1.300000;4.600000;2.780000;;0.800000;3.700000;2.470000
4000;1.100000;4.400000;2.360000;;0.700000;3.900000;2.000000;;0.800000;4.500000;2.890000
5000;0.900000;4.500000;2.800000;;1.100000;5.200000;2.770000;;0.900000;4.100000;1.580000
6000;0.800000;4.200000;1.900000;;0.700000;4.400000;2.040000;;0.700000;4.200000;1.840000
7000;1.200000;4.500000;1.950000;;1.200000;4.900000;2.250000;;0.800000;3.900000;1.740000
8000;1.000000;2.700000;1.600000;;1.000000;3.100000;1.630000;;0.800000;3.400000;1.190000
9000;0.700000;3.700000;1.650000;;0.800000;3.000000;1.550000;;0.700000;3.400000;1.610000
10000;0.800000;1.600000;1.240000;;0.700000;2.900000;1.380000;;0.700000;3.000000;1.100000
11000;0.600000;3.600000;1.500000;;0.900000;3.800000;1.480000;;0.800000;3.000000;1.240000
12000;0.800000;1.700000;1.240000;;0.800000;3.800000;1.460000;;0.800000;7.800000;1.570000
13000;0.800000;1.600000;1.230000;;0.800000;5.700000;1.640000;;0.700000;2.900000;1.020000
14000;1.000000;3.100000;1.380000;;1.100000;3.100000;1.390000;;0.800000;1.300000;0.890000
15000;1.000000;3.800000;1.930000;;1.100000;5.700000;1.980000;;0.700000;3.400000;1.670000
16000;0.800000;4.500000;1.970000;;0.700000;4.100000;1.610000;;0.700000;3.500000;1.280000
17000;1.400000;3.600000;1.720000;;1.300000;2.800000;1.570000;;0.800000;1.000000;0.920000
18000;0.900000;5.300000;1.890000;;0.900000;5.300000;2.470000;;0.900000;3.900000;1.870000
19000;0.800000;4.500000;1.830000;;0.800000;3.500000;1.550000;;0.800000;3.700000;1.420000
20000;1.000000;3.200000;1.560000;;0.900000;2.900000;1.500000;;0.700000;1.200000;0.940000
21000;1.200000;2.600000;1.520000;;1.100000;4.000000;1.990000;;0.800000;3.600000;1.430000
22000;0.900000;4.200000;2.070000;;0.900000;4.600000;2.210000;;0.800000;3.900000;1.980000
23000;0.900000;6.100000;2.310000;;0.900000;3.800000;1.660000;;0.800000;1.200000;0.960000
24000;1.200000;5.500000;1.980000;;1.300000;4.500000;1.910000;;0.800000;4.000000;1.510000
25000;1.000000;4.300000;2.590000;;1.000000;4.700000;2.360000;;1.000000;3.900000;2.080000
26000;0.900000;4.600000;1.740000;;0.900000;4.600000;1.810000;;0.700000;3.200000;1.330000
27000;1.200000;4.400000;2.260000;;1.200000;3.600000;1.880000;;0.700000;4.500000;2.240000
28000;0.900000;3.600000;1.710000;;0.900000;4.900000;1.920000;;0.700000;2.300000;1.230000
29000;1.000000;4.500000;2.220000;;0.900000;2.000000;1.490000;;0.900000;1.000000;0.960000
30000;1.000000;3.100000;1.570000;;0.900000;1.800000;1.420000;;0.900000;3.700000;1.390000
31000;0.900000;5.700000;2.060000;;0.900000;4.300000;1.920000;;0.900000;5.200000;1.660000
32000;0.900000;4.300000;1.590000;;0.900000;2.300000;1.390000;;0.900000;1.000000;0.930000
33000;1.000000;4.500000;1.720000;;1.100000;3.700000;1.600000;;0.800000;3.800000;1.430000
34000;0.900000;3.700000;1.760000;;0.900000;3.900000;1.700000;;0.900000;4.000000;1.540000
35000;1.100000;6.200000;2.240000;;1.000000;3.400000;1.540000;;0.800000;3.900000;1.640000
36000;0.700000;6.200000;2.460000;;1.000000;6.200000;2.000000;;0.900000;2.400000;1.110000
37000;1.300000;4.100000;1.670000;;1.300000;1.600000;1.420000;;0.800000;2.900000;1.120000
38000;1.200000;39.300000;5.690000;;1.400000;5.100000;2.260000;;0.900000;3.900000;1.940000
39000;0.900000;1.900000;1.380000;;0.900000;3.200000;1.570000;;0.900000;3.500000;1.240000
40000;0.700000;3.700000;1.810000;;1.100000;5.500000;2.120000;;0.900000;4.500000;1.690000
41000;1.200000;4.300000;1.700000;;1.400000;4.900000;1.880000;;0.800000;3.900000;1.750000
42000;0.800000;4.300000;1.570000;;0.800000;5.600000;1.510000;;0.800000;3.600000;1.360000
43000;0.800000;1.300000;1.110000;;0.800000;1.300000;1.110000;;0.700000;0.800000;0.790000
44000;0.600000;4.400000;1.630000;;0.800000;4.000000;1.650000;;0.700000;5.300000;1.280000
45000;0.700000;2.300000;1.360000;;0.800000;4.000000;1.510000;;0.700000;3.700000;1.290000
46000;1.200000;3.800000;1.530000;;1.100000;4.600000;1.610000;;0.700000;3.900000;1.180000
47000;0.700000;4.200000;1.780000;;0.800000;4.700000;1.830000;;0.700000;4.800000;1.380000
48000;1.200000;1.300000;1.220000;;1.100000;2.600000;1.330000;;0.700000;1.000000;0.790000
49000;0.800000;1.300000;1.150000;;0.900000;3.400000;1.380000;;0.700000;0.900000;0.800000
50000;1.000000;3.900000;1.940000;;0.800000;4.700000;1.930000;;0.700000;3.300000;1.300000
51000;0.900000;3.900000;1.980000;;0.900000;6.300000;2.110000;;0.900000;3.700000;1.510000
52000;1.000000;1.600000;1.260000;;0.900000;4.600000;1.510000;;0.700000;2.800000;1.070000
53000;0.500000;3.900000;1.840000;;0.700000;3.600000;1.390000;;0.700000;3.800000;1.280000
54000;0.800000;1.300000;1.120000;;0.800000;5.200000;1.790000;;0.700000;2.800000;1.000000
55000;0.800000;4.600000;2.050000;;0.800000;4.500000;1.850000;;0.700000;4.300000;1.350000
56000;1.000000;5.100000;1.820000;;1.000000;3.800000;1.820000;;0.900000;5.200000;1.440000
57000;0.800000;4.400000;1.830000;;0.800000;4.500000;1.840000;;0.800000;2.500000;1.070000
58000;1.000000;1.300000;1.210000;;1.100000;3.100000;1.350000;;0.700000;3.400000;1.030000
59000;0.800000;4.200000;1.440000;;0.800000;3.800000;1.730000;;0.700000;0.900000;0.810000
60000;1.000000;3.900000;1.870000;;1.200000;3.000000;1.470000;;0.800000;3.100000;1.290000
61000;1.000000;2.800000;1.500000;;0.800000;4.600000;1.790000;;0.800000;3.500000;1.710000
62000;0.900000;1.600000;1.270000;;0.800000;5.300000;1.590000;;0.800000;3.400000;1.350000
63000;1.100000;1.900000;1.330000;;1.100000;3.200000;1.440000;;0.700000;3.600000;1.120000
64000;0.800000;5.500000;1.810000;;0.800000;3.500000;1.500000;;0.700000;4.000000;1.120000
65000;1.400000;4.200000;2.020000;;1.400000;4.600000;2.050000;;0.900000;3.900000;2.150000
66000;0.700000;6.100000;2.040000;;0.800000;6.300000;1.940000;;0.900000;3.300000;1.610000
67000;1.200000;1.500000;1.430000;;1.400000;4.300000;1.710000;;0.900000;2.800000;1.130000
68000;1.000000;2.100000;1.410000;;1.000000;4.000000;1.780000;;0.800000;3.800000;1.520000
69000;1.000000;3.200000;1.480000;;0.800000;5.600000;2.120000;;0.700000;3.200000;1.660000
70000;0.800000;5.000000;2.880000;;0.800000;4.700000;2.770000;;0.800000;3.300000;1.650000
71000;1.000000;3.900000;1.660000;;1.000000;4.700000;2.270000;;0.900000;3.900000;1.410000
72000;0.900000;3.800000;1.520000;;0.900000;3.800000;1.580000;;0.900000;3.900000;1.490000
73000;1.200000;4.800000;2.270000;;1.100000;4.700000;2.830000;;0.700000;4.500000;2.040000
74000;0.900000;3.700000;1.870000;;0.900000;4.100000;1.710000;;0.800000;5.500000;2.050000
75000;1.000000;6.200000;3.240000;;1.200000;4.400000;2.150000;;0.700000;3.300000;1.330000
76000;1.000000;4.200000;1.660000;;0.900000;1.600000;1.380000;;0.900000;3.400000;1.610000
77000;0.900000;1.700000;1.290000;;0.900000;4.600000;2.080000;;0.700000;3.700000;1.440000
78000;1.400000;2.900000;1.830000;;1.300000;4.500000;2.090000;;0.900000;5.400000;2.150000
79000;1.200000;2.600000;1.610000;;1.000000;4.700000;1.860000;;0.700000;3.800000;1.410000
80000;1.000000;5.400000;2.880000;;1.200000;4.600000;2.170000;;0.900000;4.000000;2.110000
81000;1.200000;4.300000;1.800000;;1.100000;4.500000;1.880000;;0.700000;3.900000;1.540000
82000;0.600000;4.600000;1.640000;;0.900000;4.500000;1.760000;;0.900000;3.900000;2.120000
83000;0.800000;4.600000;2.050000;;0.800000;4.100000;1.680000;;0.800000;3.800000;1.590000
84000;1.200000;3.800000;1.480000;;1.100000;3.900000;1.700000;;0.700000;1.000000;0.820000
85000;0.800000;3.100000;1.320000;;1.100000;3.900000;1.860000;;0.700000;3.300000;1.120000
86000;0.700000;1.200000;0.960000;;0.700000;1.200000;0.990000;;0.700000;2.600000;0.960000
87000;1.200000;3.800000;2.200000;;1.200000;3.900000;1.980000;;0.700000;3.300000;1.700000
88000;0.600000;2.300000;1.200000;;0.800000;1.200000;1.090000;;0.700000;3.000000;1.010000
89000;0.900000;3.800000;1.620000;;0.800000;2.000000;1.350000;;0.700000;2.600000;1.030000
90000;0.700000;3.400000;1.520000;;0.800000;7.200000;1.890000;;0.700000;4.900000;1.350000
91000;0.900000;1.400000;1.220000;;0.900000;4.000000;1.930000;;0.700000;2.600000;1.000000
92000;1.000000;3.800000;1.710000;;1.100000;4.500000;1.780000;;0.700000;3.100000;1.230000
93000;0.800000;1.500000;1.270000;;0.900000;1.800000;1.310000;;0.700000;1.000000;0.840000
94000;0.800000;3.300000;1.300000;;0.700000;3.800000;1.730000;;0.700000;3.000000;1.330000
95000;0.900000;1.400000;1.180000;;0.900000;3.500000;1.420000;;0.700000;3.000000;1.090000
96000;1.300000;3.600000;1.650000;;1.400000;4.500000;2.010000;;0.900000;2.600000;1.130000
97000;1.100000;3.800000;1.500000;;0.800000;4.100000;1.970000;;0.800000;3.100000;1.140000
98000;0.700000;2.500000;1.410000;;1.000000;4.300000;1.760000;;0.800000;4.000000;1.370000
