Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;0.400000;2.000000;0.640000;;0.300000;0.700000;0.490000;;0.300000;0.800000;0.470000
2000;0.400000;0.700000;0.470000;;0.400000;0.500000;0.420000;;0.400000;0.500000;0.440000
3000;0.500000;0.600000;0.530000;;0.400000;0.600000;0.490000;;0.400000;0.500000;0.460000
4000;0.400000;0.500000;0.440000;;0.400000;0.500000;0.450000;;0.400000;0.500000;0.430000
5000;0.400000;0.600000;0.500000;;0.400000;0.600000;0.490000;;0.400000;0.500000;0.480000
6000;0.400000;0.500000;0.450000;;0.400000;0.500000;0.450000;;0.400000;0.500000;0.410000
7000;0.400000;0.600000;0.520000;;0.400000;0.600000;0.510000;;0.400000;0.600000;0.470000
8000;0.400000;0.500000;0.490000;;0.400000;0.400000;0.400000;;0.400000;0.500000;0.460000
9000;0.400000;0.600000;0.510000;;0.400000;0.500000;0.470000;;0.400000;0.600000;0.500000
10000;0.200000;0.700000;0.330000;;0.300000;0.300000;0.300000;;0.200000;0.300000;0.280000
11000;0.400000;0.500000;0.440000;;0.400000;0.500000;0.460000;;0.400000;0.500000;0.430000
12000;0.400000;0.700000;0.500000;;0.400000;0.500000;0.460000;;0.400000;0.500000;0.450000
13000;0.400000;0.500000;0.440000;;0.400000;0.500000;0.440000;;0.400000;0.500000;0.430000
14000;0.400000;0.600000;0.510000;;0.400000;0.600000;0.500000;;0.400000;0.600000;0.470000
15000;0.400000;0.500000;0.440000;;0.400000;0.500000;0.450000;;0.400000;0.500000;0.450000
16000;0.400000;0.600000;0.510000;;0.400000;0.600000;0.490000;;0.400000;0.600000;0.480000
17000;0.400000;0.500000;0.430000;;0.400000;0.500000;0.450000;;0.400000;0.500000;0.410000
18000;0.400000;0.600000;0.480000;;0.400000;0.600000;0.450000;;0.400000;0.500000;0.470000
19000;0.400000;0.600000;0.490000;;0.400000;0.600000;0.480000;;0.400000;0.500000;0.460000
20000;0.400000;0.500000;0.450000;;0.400000;0.500000;0.440000;;0.400000;0.500000;0.420000
21000;0.400000;0.500000;0.440000;;0.400000;0.500000;0.450000;;0.400000;0.500000;0.430000
22000;0.400000;0.600000;0.450000;;0.400000;0.500000;0.470000;;0.400000;0.500000;0.430000
23000;0.400000;0.500000;0.450000;;0.400000;0.500000;0.410000;;0.400000;0.500000;0.430000
24000;0.400000;0.500000;0.450000;;0.400000;0.500000;0.450000;;0.400000;0.400000;0.400000
25000;0.400000;0.500000;0.460000;;0.400000;0.500000;0.440000;;0.400000;0.500000;0.410000
26000;0.400000;0.500000;0.440000;;0.400000;0.500000;0.430000;;0.400000;0.500000;0.430000
27000;0.400000;0.400000;0.400000;;0.400000;0.500000;0.460000;;0.400000;0.500000;0.430000
28000;0.400000;0.500000;0.440000;;0.400000;0.500000;0.430000;;0.400000;0.500000;0.410000
29000;0.400000;0.500000;0.440000;;0.400000;0.500000;0.440000;;0.400000;0.500000;0.430000
30000;0.400000;0.600000;0.500000;;0.400000;0.600000;0.490000;;0.400000;0.600000;0.500000
31000;0.400000;0.500000;0.440000;;0.400000;0.500000;0.420000;;0.400000;0.500000;0.430000
32000;0.400000;0.600000;0.530000;;0.400000;0.500000;0.460000;;0.400000;0.500000;0.430000
33000;0.400000;0.500000;0.460000;;0.400000;0.500000;0.430000;;0.400000;0.500000;0.430000
34000;0.400000;0.600000;0.510000;;0.400000;0.600000;0.490000;;0.400000;0.600000;0.470000
35000;0.400000;0.600000;0.470000;;0.400000;0.600000;0.460000;;0.400000;0.500000;0.430000
36000;0.400000;0.900000;0.570000;;0.400000;0.900000;0.520000;;0.400000;0.800000;0.520000
37000;0.400000;0.600000;0.490000;;0.400000;0.600000;0.480000;;0.400000;0.600000;0.480000
38000;0.400000;0.500000;0.420000;;0.400000;0.400000;0.400000;;0.400000;0.500000;0.420000
39000;0.400000;0.500000;0.440000;;0.400000;0.500000;0.420000;;0.400000;0.500000;0.430000
40000;0.400000;0.500000;0.430000;;0.400000;0.500000;0.440000;;0.400000;0.500000;0.420000
41000;0.400000;6.200000;1.030000;;0.400000;0.500000;0.450000;;0.400000;0.500000;0.450000
42000;0.400000;1.300000;0.540000;;0.400000;0.500000;0.450000;;0.400000;0.600000;0.470000
43000;0.400000;0.500000;0.430000;;0.400000;0.400000;0.400000;;0.400000;0.400000;0.400000
44000;0.400000;0.600000;0.500000;;0.400000;0.500000;0.460000;;0.400000;0.600000;0.500000
45000;0.400000;0.600000;0.450000;;0.400000;0.500000;0.440000;;0.400000;0.400000;0.400000
46000;0.400000;0.600000;0.460000;;0.400000;0.500000;0.470000;;0.400000;0.600000;0.510000
