Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;0.700000;3.500000;1.010000;;0.600000;1.000000;0.700000
11000;1.700000;13.700000;5.010000;;1.600000;15.100000;4.950000
21000;2.600000;24.000000;10.060000;;2.600000;23.900000;7.880000
31000;3.600000;34.200000;9.410000;;3.500000;33.700000;7.440000
41000;4.500000;47.200000;13.970000;;4.400000;39.100000;10.220000
51000;5.700000;42.800000;12.300000;;5.600000;40.300000;10.740000
61000;7.700000;56.600000;15.900000;;7.600000;53.400000;14.160000
71000;9.600000;65.100000;19.220000;;9.400000;64.400000;17.780000
81000;10.000000;62.500000;22.440000;;9.800000;55.900000;19.870000
91000;10.900000;70.400000;24.120000;;10.800000;68.700000;23.010000
