Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;0.700000;3.500000;1.050000;;0.600000;0.900000;0.680000
11000;1.700000;15.000000;4.650000;;1.600000;13.400000;3.930000
21000;2.600000;27.600000;7.960000;;2.500000;24.600000;5.910000
31000;4.500000;49.300000;13.960000;;4.400000;47.700000;9.660000
41000;4.600000;64.000000;15.020000;;4.500000;38.000000;12.180000
51000;5.400000;40.300000;13.620000;;5.300000;51.700000;14.890000
61000;7.700000;53.400000;19.160000;;7.500000;58.300000;19.190000
71000;9.400000;57.800000;20.770000;;9.100000;60.100000;21.410000
81000;9.300000;93.700000;25.300000;;9.100000;60.400000;21.700000
91000;10.100000;69.500000;26.630000;;10.200000;73.900000;26.480000
