Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;6.000000;21.400000;7.600000;;0.600000;0.800000;0.680000
2000;7.500000;117.400000;20.980000;;0.700000;1.000000;0.780000
3000;9.000000;50.800000;18.990000;;0.700000;4.300000;1.130000
4000;10.000000;75.000000;17.630000;;0.800000;1.700000;1.020000
5000;12.300000;90.000000;25.770000;;0.900000;6.300000;1.550000
6000;13.900000;101.200000;22.690000;;1.000000;1.200000;1.100000
7000;16.000000;105.500000;30.570000;;1.200000;9.000000;2.040000
8000;18.200000;129.500000;43.190000;;1.700000;10.900000;2.830000
9000;20.900000;151.900000;34.070000;;1.600000;2.000000;1.780000
10000;22.500000;235.400000;59.380000;;2.100000;12.500000;4.180000
11000;24.100000;191.700000;44.970000;;2.200000;15.100000;3.910000
12000;25.800000;193.700000;42.990000;;2.700000;4.300000;3.110000
13000;27.400000;45.500000;29.280000;;2.700000;3.300000;2.970000
14000;29.200000;73.300000;37.140000;;2.900000;19.000000;4.760000
15000;30.900000;241.400000;52.110000;;3.400000;4.500000;3.740000
16000;32.400000;58.600000;35.240000;;3.900000;4.500000;4.120000
17000;36.700000;77.600000;41.040000;;3.800000;4.500000;4.270000
18000;38.700000;296.800000;73.830000;;3.800000;24.200000;6.470000
19000;40.400000;74.900000;44.730000;;4.200000;10.400000;5.310000
20000;42.100000;304.100000;77.610000;;3.000000;5.000000;3.880000
21000;44.100000;97.000000;49.850000;;3.100000;4.700000;3.260000
22000;45.900000;66.300000;48.490000;;3.200000;3.300000;3.250000
23000;48.200000;347.700000;129.590000;;3.200000;26.700000;6.060000
24000;49.800000;72.700000;53.050000;;3.400000;3.500000;3.460000
25000;51.700000;78.500000;54.700000;;3.400000;3.600000;3.510000
26000;53.500000;89.400000;57.820000;;3.500000;6.300000;4.070000
27000;57.000000;457.100000;106.560000;;6.900000;25.600000;9.690000
28000;56.900000;81.500000;60.600000;;3.900000;6.700000;5.720000
29000;59.500000;368.100000;105.250000;;4.000000;6.900000;5.090000
30000;60.300000;83.500000;63.410000;;4.000000;6.900000;4.370000
31000;62.800000;83.500000;65.940000;;4.200000;4.500000;4.330000
32000;64.600000;88.600000;67.980000;;4.200000;4.500000;4.370000
33000;71.200000;115.000000;79.720000;;4.400000;4.600000;4.510000
34000;72.800000;129.800000;79.040000;;4.500000;4.700000;4.610000
35000;74.700000;433.300000;122.100000;;4.600000;5.100000;4.800000
36000;75.800000;484.800000;129.360000;;4.700000;5.100000;4.850000
37000;78.000000;104.400000;81.890000;;4.800000;5.200000;4.980000
38000;176.200000;316.500000;294.880000;;5.000000;5.200000;5.140000
39000;296.300000;320.200000;304.480000;;5.100000;8.500000;5.640000
40000;284.600000;392.300000;309.030000;;5.200000;7.400000;5.670000
41000;284.400000;351.100000;299.520000;;5.500000;6.600000;5.760000
42000;318.300000;350.300000;329.330000;;5.400000;6.200000;5.660000
43000;275.300000;349.700000;299.090000;;5.700000;8.500000;6.160000
44000;251.900000;322.000000;290.300000;;5.700000;8.200000;6.130000
45000;281.000000;326.600000;299.760000;;5.800000;6.700000;6.180000
46000;290.100000;609.200000;372.090000;;6.100000;6.700000;6.240000
47000;274.600000;342.700000;312.090000;;6.000000;8.700000;6.500000
48000;291.400000;575.400000;334.890000;;6.100000;6.900000;6.380000
49000;278.600000;397.100000;319.990000;;6.100000;10.200000;7.380000
50000;291.200000;377.600000;331.960000;;6.200000;7.400000;6.640000
51000;292.800000;363.500000;329.510000;;6.400000;7.500000;6.750000
52000;288.300000;391.200000;307.680000;;6.600000;8.500000;7.040000
53000;267.900000;322.300000;299.890000;;6.700000;7.100000;6.870000
54000;282.500000;325.400000;297.500000;;6.700000;10.600000;7.680000
55000;285.500000;335.100000;308.210000;;6.700000;8.200000;7.360000
56000;306.600000;361.300000;324.420000;;7.100000;10.900000;7.680000
57000;312.600000;762.000000;406.210000;;7.100000;7.900000;7.480000
58000;286.400000;347.000000;317.550000;;7.000000;8.100000;7.530000
59000;323.400000;433.800000;354.400000;;7.500000;9.100000;8.090000
60000;429.200000;699.400000;496.180000;;10.600000;19.800000;13.270000
61000;329.700000;715.900000;420.200000;;7.700000;9.600000;8.200000
62000;325.800000;445.800000;357.320000;;7.700000;10.600000;8.410000
63000;333.700000;462.600000;368.220000;;7.700000;9.500000;8.310000
64000;324.600000;453.200000;362.090000;;7.700000;11.700000;9.110000
65000;293.700000;378.300000;316.310000;;7.800000;11.800000;8.960000
66000;502.100000;636.400000;542.870000;;7.900000;20.400000;9.950000
67000;486.200000;579.100000;528.980000;;8.100000;128.300000;20.840000
68000;522.900000;936.500000;597.350000;;8.200000;12.900000;9.220000
69000;511.400000;674.100000;563.420000;;8.300000;10.700000;9.320000
70000;520.400000;604.800000;550.420000;;8.300000;9.700000;8.840000
71000;534.500000;613.100000;558.010000;;8.400000;10.800000;9.000000
72000;560.200000;606.500000;584.740000;;8.600000;9.400000;9.020000
73000;554.400000;802.800000;632.850000;;9.500000;20.400000;14.550000
74000;551.400000;803.600000;614.130000;;8.800000;12.200000;9.760000
75000;659.900000;773.300000;746.670000;;8.900000;12.000000;9.790000
76000;755.400000;876.300000;790.690000;;9.100000;21.400000;11.210000
77000;773.700000;983.500000;807.710000;;9.400000;16.300000;10.810000
78000;769.400000;936.900000;814.830000;;9.300000;15.600000;10.940000
79000;785.000000;932.600000;828.030000;;9.400000;33.100000;15.280000
80000;763.500000;861.800000;794.620000;;9.600000;13.100000;10.600000
81000;849.100000;956.900000;880.350000;;9.600000;11.400000;10.400000
82000;787.600000;928.900000;817.590000;;9.800000;16.700000;11.190000
83000;803.700000;997.900000;846.620000;;9.900000;16.400000;11.530000
84000;825.100000;1023.900000;875.320000;;9.800000;55.700000;14.910000
85000;783.700000;1038.500000;832.830000;;10.000000;16.800000;11.500000
86000;748.600000;930.000000;806.210000;;11.200000;16.800000;12.900000
87000;905.900000;1177.100000;999.880000;;10.200000;15.500000;11.660000
88000;844.300000;1195.700000;958.820000;;10.500000;12.900000;11.400000
89000;833.300000;969.400000;876.330000;;10.300000;12.200000;11.040000
90000;819.700000;945.500000;905.450000;;11.300000;14.300000;12.400000
91000;860.300000;1230.800000;969.180000;;10.800000;24.100000;14.210000
92000;863.600000;998.800000;922.910000;;11.000000;25.900000;13.250000
93000;879.800000;1014.800000;937.170000;;11.100000;15.600000;12.250000
94000;886.600000;1089.600000;966.170000;;12.100000;17.400000;14.210000
95000;874.700000;1160.300000;971.480000;;11.100000;73.300000;18.230000
96000;895.800000;1082.300000;940.310000;;11.200000;18.800000;12.920000
97000;898.100000;1207.800000;971.570000;;11.300000;21.200000;13.920000
98000;882.000000;1147.300000;1019.240000;;11.400000;15.500000;12.870000
99000;930.000000;1169.800000;1002.340000;;11.500000;18.700000;12.640000
100000;953.500000;1167.900000;1005.590000;;11.700000;14.500000;12.840000
