Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;5.800000;27.300000;8.050000;;0.600000;0.900000;0.650000
2000;37.200000;43.000000;39.420000;;3.200000;3.700000;3.380000
3000;60.400000;69.000000;62.410000;;5.600000;6.500000;5.830000
4000;81.600000;86.500000;83.370000;;6.900000;9.900000;7.450000
5000;107.000000;117.700000;110.360000;;8.400000;9.200000;8.690000
6000;124.400000;133.600000;127.760000;;9.600000;10.600000;10.020000
7000;141.500000;191.900000;169.410000;;11.400000;18.200000;13.960000
8000;152.600000;251.900000;174.170000;;12.000000;17.300000;13.570000
9000;183.300000;194.500000;187.280000;;13.600000;14.700000;14.170000
10000;206.100000;297.200000;233.710000;;15.300000;27.600000;19.630000
11000;227.000000;340.700000;277.530000;;16.300000;21.100000;18.480000
12000;227.700000;262.200000;240.710000;;15.100000;21.600000;17.690000
13000;243.900000;348.400000;292.180000;;15.800000;35.900000;19.740000
14000;254.900000;277.300000;265.710000;;16.300000;19.900000;18.000000
15000;272.700000;369.800000;330.020000;;18.200000;23.600000;20.450000
16000;287.200000;316.700000;299.020000;;4.300000;26.000000;7.600000
17000;319.400000;419.100000;380.800000;;4.800000;8.500000;6.200000
18000;337.400000;399.100000;362.350000;;4.900000;8.500000;6.420000
19000;347.200000;524.900000;402.930000;;5.100000;12.400000;7.110000
20000;355.900000;455.100000;401.710000;;4.700000;12.500000;7.010000
21000;365.300000;474.300000;398.320000;;4.800000;9.700000;6.850000
22000;402.900000;491.400000;441.000000;;3.300000;10.300000;6.730000
23000;380.500000;436.100000;400.120000;;3.300000;12.800000;5.760000
24000;410.500000;479.400000;452.280000;;3.500000;8.200000;4.520000
25000;437.400000;553.500000;472.760000;;6.800000;17.400000;8.840000
26000;409.700000;502.800000;452.080000;;5.300000;13.700000;8.080000
27000;440.900000;535.100000;474.580000;;6.200000;12.800000;8.210000
28000;438.000000;501.900000;462.090000;;6.200000;33.700000;10.130000
29000;443.600000;792.600000;499.430000;;4.400000;27.600000;9.590000
30000;469.500000;569.600000;495.720000;;6.700000;47.800000;12.180000
31000;426.900000;473.600000;444.890000;;4.400000;23.900000;8.870000
32000;440.000000;495.700000;459.210000;;4.500000;14.000000;6.600000
33000;493.600000;580.500000;524.470000;;4.300000;27.000000;8.080000
34000;503.200000;570.700000;523.970000;;4.700000;15.800000;7.040000
35000;541.200000;816.400000;609.040000;;4.700000;18.400000;11.610000
36000;534.800000;749.900000;600.060000;;4.800000;5.500000;5.090000
37000;549.800000;611.200000;563.200000;;5.000000;5.500000;5.250000
38000;518.300000;637.800000;572.820000;;5.000000;5.300000;5.100000
39000;542.400000;613.600000;572.690000;;5.000000;7.800000;5.520000
40000;581.400000;633.600000;592.980000;;5.300000;5.500000;5.380000
41000;555.000000;616.200000;571.500000;;5.300000;5.800000;5.540000
42000;576.600000;640.400000;602.110000;;5.400000;5.800000;5.570000
43000;556.600000;653.100000;608.790000;;5.600000;35.900000;8.910000
44000;623.200000;719.900000;669.630000;;16.000000;79.500000;24.380000
45000;600.000000;670.100000;630.240000;;5.700000;29.300000;8.390000
46000;591.900000;654.200000;623.420000;;5.700000;7.400000;6.190000
47000;614.600000;699.600000;643.620000;;6.100000;7.400000;6.520000
48000;600.200000;674.500000;635.570000;;6.100000;7.900000;6.580000
49000;625.400000;789.700000;671.190000;;6.100000;9.400000;6.950000
