Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;21.600000;36.200000;24.170000;;0.600000;4.200000;1.090000
11000;215.800000;240.100000;222.390000;;13.900000;17.500000;14.910000
21000;379.900000;506.500000;420.700000;;3.600000;10.100000;6.150000
31000;490.600000;622.600000;526.690000;;6.300000;16.200000;9.720000
41000;567.500000;719.600000;635.480000;;7.900000;32.200000;14.850000
51000;664.300000;885.200000;728.900000;;6.800000;25.400000;12.160000
61000;766.500000;977.300000;837.300000;;8.600000;80.100000;19.470000
71000;909.400000;1133.100000;1005.160000;;10.700000;49.700000;19.830000
81000;1108.200000;1413.700000;1231.050000;;10.000000;87.300000;22.340000
91000;1209.200000;1503.200000;1295.330000;;10.700000;90.700000;27.680000
