Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;8.900000;42.600000;13.630000;;9.700000;12.300000;10.710000;;3.100000;6.200000;4.080000
2000;33.200000;54.600000;48.270000;;37.700000;57.400000;45.960000;;12.900000;21.200000;17.030000
3000;55.900000;84.000000;74.040000;;57.000000;92.100000;76.820000;;16.300000;81.300000;32.050000
4000;87.400000;100.500000;92.920000;;87.500000;94.200000;91.090000;;20.500000;41.900000;26.360000
5000;107.400000;148.600000;120.890000;;108.500000;161.600000;127.800000;;26.900000;48.900000;37.920000
6000;124.900000;156.400000;142.360000;;127.200000;170.800000;148.870000;;30.500000;60.900000;47.450000
7000;141.300000;268.200000;166.320000;;137.900000;173.700000;154.580000;;21.600000;65.900000;48.360000
8000;141.600000;204.800000;171.690000;;136.300000;200.900000;168.390000;;21.300000;85.200000;55.120000
9000;163.000000;212.100000;185.100000;;151.100000;206.300000;183.720000;;37.000000;78.500000;59.470000
10000;162.600000;255.100000;208.020000;;163.000000;236.600000;200.950000;;26.400000;81.600000;54.230000
11000;216.400000;268.300000;239.680000;;218.800000;264.900000;235.150000;;60.200000;125.800000;80.370000
12000;219.700000;291.900000;247.680000;;220.100000;279.800000;240.010000;;51.400000;85.700000;70.420000
13000;203.000000;296.100000;248.100000;;214.700000;299.600000;250.190000;;31.000000;161.600000;69.770000
14000;130.300000;304.200000;246.480000;;134.300000;341.900000;253.540000;;36.600000;144.600000;81.500000
15000;237.500000;397.800000;311.820000;;262.800000;410.800000;319.360000;;23.400000;86.300000;61.400000
16000;246.500000;314.100000;291.350000;;270.200000;305.900000;291.080000;;38.200000;126.600000;70.190000
17000;244.600000;400.300000;297.920000;;280.900000;326.600000;304.760000;;40.400000;127.600000;70.990000
18000;230.200000;466.300000;318.620000;;225.800000;471.700000;325.370000;;23.700000;117.400000;82.000000
19000;297.600000;706.400000;424.530000;;331.700000;515.400000;417.640000;;63.100000;191.900000;103.350000
20000;211.900000;428.500000;323.360000;;248.900000;431.300000;349.280000;;46.300000;125.500000;70.180000
21000;259.700000;439.300000;353.240000;;307.400000;399.200000;361.380000;;77.500000;183.900000;113.900000
22000;270.800000;407.300000;337.470000;;320.400000;404.900000;362.200000;;39.600000;118.700000;75.670000
23000;291.400000;411.800000;342.740000;;350.900000;383.500000;366.160000;;27.300000;152.200000;79.650000
24000;166.800000;371.200000;317.490000;;284.900000;398.200000;327.130000;;7.400000;89.600000;50.520000
25000;242.100000;441.600000;366.380000;;295.600000;405.200000;379.670000;;7.600000;174.700000;65.100000
26000;314.500000;396.700000;352.430000;;342.900000;419.700000;379.720000;;52.000000;114.800000;81.790000
