Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;5.500000;25.000000;7.540000;;5.500000;7.300000;5.700000;;0.600000;1.100000;0.720000
2000;6.800000;30.600000;9.270000;;6.800000;7.100000;6.910000;;0.700000;0.800000;0.780000
3000;8.600000;11.800000;8.950000;;8.500000;12.800000;9.070000;;0.800000;0.900000;0.810000
4000;9.300000;13.500000;9.740000;;9.300000;55.400000;13.990000;;0.800000;1.200000;0.920000
5000;11.500000;18.200000;13.570000;;11.500000;14.700000;12.730000;;1.000000;1.800000;1.170000
6000;13.100000;15.900000;13.520000;;13.200000;13.400000;13.270000;;1.100000;1.200000;1.130000
7000;15.000000;17.000000;15.370000;;15.000000;17.300000;15.350000;;1.200000;1.900000;1.340000
8000;16.700000;18.800000;16.970000;;16.700000;16.900000;16.770000;;1.400000;1.500000;1.410000
9000;19.200000;215.800000;39.030000;;19.400000;200.800000;37.950000;;1.500000;2.500000;1.680000
10000;21.300000;226.800000;41.950000;;22.200000;27.400000;23.340000;;2.400000;2.700000;2.550000
11000;22.800000;58.000000;26.490000;;23.500000;24.200000;23.810000;;2.500000;2.900000;2.660000
12000;24.400000;71.700000;30.060000;;25.400000;26.000000;25.680000;;2.600000;5.900000;3.350000
13000;25.800000;55.700000;28.920000;;26.900000;27.500000;27.210000;;2.800000;3.300000;3.100000
14000;27.400000;59.400000;31.960000;;28.600000;36.400000;30.090000;;3.200000;3.900000;3.500000
15000;28.900000;82.300000;34.480000;;30.200000;31.100000;30.630000;;3.200000;3.700000;3.400000
16000;30.800000;44.900000;33.250000;;32.100000;56.300000;34.970000;;3.500000;6.500000;4.390000
17000;34.800000;111.200000;42.660000;;36.400000;37.800000;37.030000;;3.500000;4.400000;4.040000
18000;36.800000;47.900000;38.350000;;38.800000;39.700000;39.130000;;3.800000;4.800000;4.430000
19000;38.400000;46.600000;39.550000;;40.200000;44.800000;41.270000;;4.000000;6.700000;4.650000
20000;40.600000;54.900000;42.280000;;42.300000;55.200000;44.220000;;4.100000;5.100000;4.620000
21000;42.000000;137.400000;51.920000;;43.800000;45.900000;45.010000;;4.700000;5.600000;5.060000
22000;56.000000;100.900000;63.500000;;56.500000;64.200000;61.360000;;4.500000;8.300000;6.440000
23000;45.400000;79.700000;49.020000;;45.800000;50.300000;46.590000;;3.400000;3.600000;3.450000
24000;47.000000;104.100000;52.970000;;47.600000;51.500000;48.430000;;3.500000;3.900000;3.660000
25000;48.900000;70.400000;51.290000;;49.700000;50.300000;50.010000;;3.700000;4.000000;3.820000
26000;50.600000;141.300000;59.960000;;51.300000;51.700000;51.530000;;3.800000;3.900000;3.830000
27000;52.300000;72.500000;54.620000;;52.700000;53.900000;53.330000;;3.900000;10.600000;4.680000
28000;68.600000;109.900000;81.580000;;70.100000;114.100000;82.230000;;6.500000;11.000000;8.680000
29000;57.500000;100.600000;62.640000;;59.400000;67.400000;61.240000;;5.300000;7.000000;6.330000
30000;59.400000;98.500000;64.330000;;61.600000;67.400000;62.630000;;5.200000;7.600000;6.910000
31000;60.600000;78.900000;63.230000;;63.600000;76.300000;65.530000;;5.700000;7.500000;6.860000
32000;63.100000;104.800000;68.630000;;64.800000;85.700000;69.650000;;5.600000;8.900000;7.040000
33000;69.900000;118.100000;84.530000;;72.200000;104.500000;80.960000;;6.000000;11.200000;8.500000
34000;71.500000;182.900000;90.000000;;73.900000;108.500000;83.540000;;5.900000;12.200000;8.580000
35000;71.500000;113.600000;77.590000;;71.200000;81.100000;76.700000;;4.800000;8.200000;7.270000
36000;72.400000;135.500000;84.470000;;74.200000;83.800000;80.260000;;4.900000;8.900000;6.940000
37000;74.400000;143.500000;91.420000;;75.000000;101.900000;83.860000;;4.900000;7.300000;5.800000
38000;97.700000;173.800000;110.810000;;102.400000;201.900000;121.840000;;10.700000;14.600000;12.660000
39000;105.900000;196.200000;136.760000;;109.000000;189.500000;138.040000;;9.500000;19.100000;12.390000
40000;88.000000;137.000000;94.320000;;88.700000;99.900000;93.450000;;7.300000;9.600000;8.860000
41000;87.200000;185.000000;101.860000;;91.300000;137.000000;97.080000;;6.800000;12.900000;8.690000
42000;90.800000;126.400000;96.130000;;93.800000;100.300000;96.130000;;6.600000;9.900000;8.830000
43000;92.400000;148.300000;101.500000;;96.300000;117.400000;99.250000;;7.100000;13.700000;9.710000
44000;94.900000;161.100000;110.590000;;98.100000;147.800000;107.970000;;7.500000;15.200000;10.510000
45000;96.300000;157.700000;110.260000;;100.000000;145.400000;109.780000;;8.200000;15.400000;10.530000
46000;90.700000;132.800000;97.550000;;91.500000;106.100000;95.750000;;6.100000;10.600000;7.140000
47000;109.600000;200.200000;142.510000;;111.600000;213.400000;144.180000;;14.000000;33.300000;20.520000
48000;120.900000;240.700000;139.060000;;121.000000;154.200000;127.600000;;15.200000;24.900000;17.170000
49000;95.900000;152.700000;104.130000;;96.600000;106.900000;99.420000;;11.800000;17.100000;12.550000
50000;96.700000;229.700000;112.120000;;98.100000;255.500000;114.750000;;11.800000;16.200000;12.570000
51000;276.100000;421.200000;367.540000;;324.300000;473.400000;383.850000;;12.000000;22.400000;15.500000
52000;282.200000;457.300000;333.050000;;282.200000;360.300000;310.510000;;12.200000;13.900000;12.530000
53000;289.000000;357.700000;303.370000;;264.000000;376.300000;302.390000;;12.300000;14.500000;12.850000
54000;288.300000;353.900000;308.960000;;270.100000;339.900000;296.620000;;12.500000;19.000000;13.850000
55000;313.300000;436.800000;375.380000;;321.600000;440.800000;375.350000;;12.800000;29.700000;16.590000
56000;312.200000;418.600000;345.900000;;283.100000;405.200000;339.640000;;13.100000;30.200000;15.670000
57000;307.400000;496.700000;351.990000;;309.100000;467.800000;362.360000;;13.300000;20.200000;15.150000
58000;311.900000;451.800000;342.950000;;289.800000;429.700000;340.290000;;13.600000;20.300000;14.950000
59000;313.600000;458.600000;364.430000;;308.300000;453.200000;356.160000;;14.000000;19.500000;14.860000
60000;342.900000;460.600000;370.800000;;344.400000;419.900000;358.470000;;14.000000;19.600000;14.890000
61000;325.300000;408.100000;361.960000;;327.100000;454.400000;366.350000;;14.200000;22.300000;16.170000
62000;338.700000;417.100000;356.090000;;338.700000;418.900000;353.480000;;14.300000;15.200000;14.680000
63000;338.500000;443.800000;359.450000;;337.900000;420.800000;355.860000;;14.700000;20.800000;15.550000
64000;329.000000;397.100000;364.080000;;331.600000;416.300000;366.370000;;14.800000;15.400000;15.160000
65000;297.900000;398.700000;313.200000;;298.900000;402.100000;313.090000;;14.900000;17.000000;15.410000
66000;466.700000;680.200000;531.520000;;484.000000;618.200000;541.860000;;23.200000;25.200000;23.630000
67000;504.100000;598.600000;527.400000;;490.300000;583.900000;519.150000;;23.100000;30.800000;24.190000
68000;511.100000;687.100000;571.250000;;505.000000;663.100000;554.090000;;23.700000;25.400000;24.260000
69000;519.500000;672.900000;567.300000;;516.100000;697.900000;592.560000;;24.000000;33.800000;25.920000
70000;517.200000;664.900000;552.650000;;520.100000;559.400000;531.440000;;24.200000;29.200000;25.070000
71000;530.100000;788.100000;624.790000;;527.300000;676.500000;577.990000;;24.700000;60.200000;29.980000
72000;570.300000;892.800000;641.740000;;555.000000;738.700000;616.110000;;25.100000;36.600000;27.780000
73000;533.100000;740.300000;597.350000;;542.200000;596.400000;565.390000;;25.600000;26.900000;26.080000
74000;542.900000;688.800000;601.570000;;542.500000;607.000000;567.580000;;26.100000;28.400000;26.600000
75000;564.600000;771.300000;630.340000;;568.900000;767.500000;641.440000;;26.100000;28.600000;26.890000
76000;581.000000;787.500000;648.120000;;567.300000;1106.800000;662.970000;;26.300000;35.000000;27.810000
77000;576.800000;776.700000;621.120000;;579.800000;662.400000;603.530000;;26.600000;34.900000;28.250000
78000;576.500000;797.900000;652.760000;;576.500000;825.800000;640.520000;;27.000000;34.700000;28.980000
79000;601.900000;765.200000;663.420000;;596.000000;723.800000;661.650000;;27.400000;36.400000;28.940000
80000;573.800000;716.700000;619.220000;;578.700000;679.800000;614.620000;;27.600000;47.400000;30.610000
