Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;4.900000;20.500000;6.510000;;4.900000;5.100000;5.010000;;0.700000;0.900000;0.720000
2000;6.200000;21.600000;7.840000;;6.300000;6.400000;6.350000;;0.700000;0.800000;0.790000
3000;7.600000;11.000000;8.020000;;7.600000;7.700000;7.680000;;0.800000;0.900000;0.810000
4000;8.500000;11.000000;8.860000;;8.600000;8.700000;8.660000;;0.800000;0.900000;0.890000
5000;10.600000;14.500000;11.060000;;10.600000;10.900000;10.690000;;0.900000;1.100000;1.010000
6000;12.100000;20.600000;12.950000;;11.900000;15.800000;12.440000;;1.100000;1.600000;1.190000
7000;13.800000;16.200000;14.090000;;13.700000;14.000000;13.850000;;1.200000;1.400000;1.310000
8000;15.200000;17.900000;15.600000;;15.300000;15.500000;15.410000;;1.400000;1.400000;1.400000
9000;18.100000;21.400000;18.500000;;18.400000;18.900000;18.660000;;1.700000;2.000000;1.840000
10000;19.400000;24.900000;20.300000;;19.900000;20.500000;20.180000;;1.900000;2.500000;2.070000
11000;21.000000;201.100000;40.000000;;21.200000;161.600000;35.570000;;1.800000;2.900000;2.070000
12000;22.100000;54.800000;25.590000;;22.800000;33.300000;24.220000;;2.100000;2.900000;2.420000
13000;23.500000;45.000000;25.840000;;24.200000;29.100000;24.980000;;2.400000;3.400000;2.530000
14000;25.100000;39.100000;26.600000;;25.800000;27.300000;26.180000;;2.900000;3.400000;3.120000
15000;26.200000;53.600000;29.110000;;27.300000;34.900000;28.420000;;3.000000;3.800000;3.310000
16000;27.900000;40.600000;29.940000;;29.000000;30.200000;29.570000;;3.600000;4.200000;3.870000
17000;32.500000;88.000000;38.840000;;34.600000;109.600000;43.490000;;4.100000;8.200000;4.810000
18000;35.100000;314.600000;64.360000;;37.000000;284.500000;63.530000;;4.100000;5.200000;4.490000
19000;35.500000;62.900000;39.190000;;36.900000;40.100000;37.920000;;4.000000;6.200000;4.600000
20000;45.200000;83.200000;55.180000;;47.900000;66.700000;55.870000;;6.600000;11.600000;7.700000
21000;39.700000;104.200000;55.010000;;41.400000;69.200000;52.950000;;4.600000;10.000000;6.570000
22000;43.000000;87.900000;48.570000;;44.900000;53.300000;47.620000;;4.400000;5.700000;4.980000
23000;42.600000;81.700000;47.840000;;44.700000;46.200000;45.560000;;4.300000;5.500000;4.950000
24000;44.100000;76.700000;51.530000;;46.300000;69.300000;53.320000;;5.200000;8.500000;6.030000
25000;44.900000;62.200000;47.010000;;46.100000;50.500000;47.260000;;3.900000;5.100000;4.340000
26000;47.100000;100.800000;54.330000;;47.500000;72.900000;52.500000;;3.600000;5.300000;4.060000
27000;48.700000;74.800000;58.250000;;49.000000;67.800000;58.330000;;3.700000;5.800000;4.790000
28000;50.000000;72.100000;55.040000;;50.800000;84.700000;57.190000;;3.800000;7.100000;4.480000
29000;52.600000;98.000000;58.920000;;53.300000;57.400000;54.520000;;4.000000;5.700000;4.510000
30000;53.400000;69.400000;56.930000;;54.100000;67.400000;56.620000;;4.100000;6.300000;4.600000
31000;55.000000;79.400000;58.660000;;55.600000;58.700000;56.940000;;4.200000;4.700000;4.460000
32000;56.500000;78.000000;59.960000;;57.100000;58.900000;58.040000;;4.400000;6.600000;4.860000
33000;63.000000;145.500000;76.860000;;63.500000;104.700000;71.430000;;4.500000;7.600000;5.460000
34000;64.500000;177.500000;79.960000;;65.800000;77.900000;72.170000;;4.600000;7.500000;5.620000
35000;67.300000;95.500000;73.500000;;67.400000;81.900000;70.940000;;4.700000;5.300000;5.030000
36000;72.000000;143.500000;82.640000;;73.600000;93.200000;78.340000;;4.900000;6.100000;5.480000
37000;76.900000;160.700000;88.800000;;77.600000;114.300000;84.900000;;5.300000;8.400000;6.250000
38000;71.400000;162.600000;92.360000;;72.400000;89.600000;80.830000;;4.900000;6.900000;6.080000
39000;79.900000;146.200000;87.770000;;82.700000;97.400000;87.430000;;7.800000;13.700000;9.430000
40000;74.300000;109.800000;79.830000;;75.900000;77.200000;76.690000;;5.100000;5.900000;5.600000
41000;75.900000;156.500000;84.590000;;77.300000;89.100000;80.020000;;5.300000;6.400000;5.690000
42000;77.700000;104.100000;81.760000;;78.600000;87.200000;80.650000;;5.400000;6.300000;5.850000
43000;80.000000;134.600000;86.510000;;80.800000;85.800000;82.030000;;5.500000;6.300000;5.870000
44000;81.700000;116.900000;89.920000;;81.900000;108.400000;89.770000;;5.500000;10.000000;6.870000
45000;82.600000;108.100000;86.750000;;83.900000;101.000000;86.700000;;5.600000;9.100000;6.610000
46000;83.700000;109.100000;88.950000;;84.800000;98.100000;87.390000;;5.800000;8.600000;6.460000
47000;85.800000;110.300000;89.840000;;85.700000;94.300000;88.860000;;5.800000;13.300000;6.990000
48000;87.100000;119.100000;91.810000;;88.200000;100.600000;91.580000;;6.000000;7.000000;6.450000
49000;89.000000;124.400000;98.420000;;89.700000;114.400000;96.730000;;6.200000;9.100000;6.760000
50000;90.600000;154.600000;100.090000;;90.900000;123.200000;96.000000;;6.200000;9.700000;7.040000
51000;93.700000;218.400000;111.890000;;94.500000;123.600000;103.890000;;7.400000;12.100000;8.700000
52000;113.000000;237.200000;132.420000;;113.600000;119.500000;115.860000;;8.000000;9.200000;8.580000
53000;292.600000;419.100000;322.170000;;293.500000;374.400000;309.810000;;6.600000;10.400000;7.480000
54000;295.400000;388.400000;318.350000;;297.700000;414.800000;332.770000;;6.800000;9.400000;7.640000
55000;299.100000;596.400000;343.340000;;298.200000;402.400000;327.480000;;6.700000;11.100000;7.840000
56000;300.300000;427.200000;352.460000;;317.500000;408.400000;368.500000;;6.900000;10.200000;8.150000
57000;307.300000;439.400000;368.510000;;304.300000;426.500000;351.820000;;7.000000;16.300000;10.900000
58000;302.200000;405.900000;327.430000;;303.900000;424.600000;330.690000;;7.000000;11.600000;8.070000
59000;304.600000;436.600000;357.280000;;311.000000;431.500000;333.390000;;7.300000;11.100000;8.170000
60000;325.700000;405.600000;344.480000;;325.200000;382.600000;339.650000;;7.500000;9.400000;8.180000
61000;314.500000;430.100000;357.260000;;307.600000;395.500000;342.890000;;7.400000;10.200000;8.240000
62000;355.400000;435.800000;390.270000;;360.400000;438.800000;381.040000;;7.700000;10.800000;8.720000
63000;325.100000;431.400000;358.800000;;322.600000;413.100000;343.220000;;7.700000;10.500000;8.660000
64000;338.600000;535.700000;398.010000;;342.300000;491.600000;380.940000;;7.700000;13.500000;9.320000
65000;289.700000;463.300000;315.820000;;291.500000;406.100000;324.100000;;7.700000;10.800000;8.720000
66000;306.500000;416.900000;329.840000;;306.000000;336.600000;314.670000;;15.100000;23.600000;17.160000
67000;316.700000;445.400000;376.430000;;308.900000;445.800000;380.150000;;15.400000;23.400000;18.150000
68000;314.700000;515.900000;346.200000;;312.300000;480.800000;348.690000;;15.600000;16.500000;16.080000
69000;312.100000;424.700000;334.350000;;314.800000;451.500000;342.940000;;15.800000;16.800000;16.350000
70000;318.100000;610.100000;371.010000;;325.400000;612.900000;367.390000;;16.000000;18.700000;16.760000
71000;480.600000;695.100000;553.200000;;522.700000;778.200000;580.900000;;16.500000;18.900000;17.280000
72000;535.400000;746.800000;606.750000;;540.600000;678.800000;574.680000;;16.800000;23.900000;18.240000
73000;541.700000;787.900000;642.310000;;543.200000;705.700000;598.820000;;17.300000;34.100000;19.300000
74000;554.600000;657.700000;593.970000;;544.500000;628.000000;570.630000;;17.300000;26.600000;19.350000
75000;565.300000;785.400000;634.490000;;563.600000;750.600000;619.200000;;17.300000;26.000000;18.920000
76000;553.600000;763.000000;603.360000;;555.900000;927.500000;630.030000;;17.300000;25.500000;19.130000
77000;571.000000;658.900000;598.670000;;548.400000;650.500000;584.540000;;17.700000;23.400000;19.080000
78000;555.100000;722.700000;610.300000;;561.300000;652.500000;585.510000;;17.900000;23.100000;19.170000
79000;565.900000;754.400000;627.000000;;567.400000;631.500000;595.460000;;18.000000;27.600000;20.390000
