Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;4.800000;25.100000;6.960000;;4.900000;5.600000;5.020000;;0.600000;0.800000;0.680000
2000;30.800000;36.500000;32.110000;;32.800000;35.500000;33.950000;;3.300000;3.700000;3.480000
3000;53.800000;59.100000;54.700000;;53.700000;58.000000;54.680000;;5.500000;6.200000;5.780000
4000;67.700000;70.100000;68.740000;;68.100000;69.700000;69.060000;;6.700000;7.400000;7.020000
5000;91.100000;93.700000;91.970000;;89.800000;92.900000;91.570000;;8.300000;8.900000;8.570000
6000;101.600000;189.700000;132.100000;;101.500000;169.400000;121.280000;;9.100000;20.600000;12.260000
7000;114.000000;120.700000;117.290000;;114.400000;123.900000;117.180000;;10.400000;11.900000;11.050000
8000;127.000000;205.700000;145.510000;;134.700000;220.400000;150.520000;;10.300000;16.100000;12.410000
9000;158.600000;239.300000;173.930000;;159.100000;171.800000;163.110000;;13.500000;14.700000;14.120000
10000;167.200000;278.900000;199.690000;;180.700000;276.100000;212.000000;;13.100000;30.200000;16.690000
11000;182.200000;212.300000;187.790000;;194.900000;202.600000;197.860000;;13.700000;17.700000;15.180000
12000;203.200000;224.200000;214.970000;;210.200000;218.500000;213.780000;;18.700000;22.300000;19.610000
13000;206.300000;412.600000;244.350000;;221.200000;478.300000;258.570000;;16.400000;27.200000;18.180000
14000;221.200000;413.500000;249.670000;;242.200000;397.700000;271.420000;;17.500000;46.000000;21.600000
15000;242.100000;644.700000;302.910000;;260.900000;410.800000;286.500000;;21.000000;48.800000;26.980000
16000;250.700000;376.900000;297.950000;;269.800000;548.800000;331.660000;;20.600000;45.600000;25.600000
17000;286.500000;417.700000;333.400000;;303.600000;493.900000;353.250000;;20.100000;41.000000;24.540000
18000;293.400000;403.900000;328.560000;;297.600000;394.700000;327.300000;;4.400000;9.700000;6.040000
19000;299.200000;421.800000;341.980000;;308.300000;433.600000;333.860000;;5.200000;10.800000;6.540000
20000;307.000000;413.300000;353.680000;;310.900000;580.800000;370.800000;;5.400000;10.200000;7.090000
21000;325.700000;449.700000;367.880000;;322.500000;466.300000;372.420000;;3.300000;11.100000;6.210000
22000;336.900000;480.800000;372.900000;;336.100000;439.600000;360.160000;;3.400000;8.100000;4.010000
23000;324.100000;403.700000;350.680000;;331.000000;412.800000;351.680000;;3.500000;9.800000;4.180000
24000;347.300000;490.600000;375.510000;;346.200000;427.300000;370.820000;;5.200000;11.500000;6.970000
25000;364.700000;493.900000;390.670000;;366.800000;455.500000;390.520000;;6.300000;19.400000;8.090000
26000;371.200000;483.400000;402.070000;;381.700000;431.600000;396.900000;;4.000000;13.500000;7.500000
27000;375.500000;431.700000;396.260000;;383.300000;426.300000;399.020000;;4.000000;10.300000;4.730000
28000;392.800000;424.400000;402.580000;;396.700000;446.700000;405.640000;;3.900000;11.700000;4.930000
29000;390.400000;450.000000;416.550000;;391.200000;422.800000;406.850000;;4.100000;9.500000;4.730000
30000;413.500000;433.200000;427.480000;;416.900000;473.900000;433.160000;;4.200000;4.600000;4.430000
31000;409.300000;467.200000;434.350000;;414.700000;441.700000;425.530000;;4.400000;8.800000;5.100000
32000;461.200000;493.300000;474.860000;;459.200000;500.100000;468.660000;;4.500000;5.200000;4.740000
33000;484.500000;525.600000;503.410000;;484.600000;512.500000;496.910000;;4.700000;5.500000;4.940000
34000;492.300000;582.800000;513.980000;;494.700000;608.500000;520.870000;;4.700000;5.200000;4.880000
35000;469.300000;530.600000;490.430000;;474.800000;559.200000;500.570000;;4.700000;11.000000;5.700000
36000;118.500000;490.500000;401.700000;;68.900000;497.100000;439.500000;;4.800000;5.500000;5.140000
37000;70.600000;524.600000;411.100000;;71.300000;524.300000;399.410000;;5.100000;63.700000;11.110000
38000;104.800000;553.200000;473.530000;;73.500000;531.500000;424.120000;;5.200000;63.300000;11.290000
39000;133.300000;534.200000;477.200000;;132.000000;555.900000;484.610000;;5.200000;39.500000;8.910000
40000;78.800000;567.800000;433.720000;;134.200000;556.100000;435.850000;;5.300000;39.200000;8.990000
41000;84.100000;607.600000;497.070000;;146.500000;630.200000;503.610000;;8.000000;10.100000;9.400000
42000;82.900000;553.400000;433.290000;;80.500000;561.400000;370.400000;;5.600000;10.400000;8.690000
43000;205.000000;511.200000;394.630000;;297.200000;630.100000;455.530000;;5.700000;6.600000;5.940000
44000;287.100000;561.500000;381.230000;;288.100000;576.000000;444.190000;;5.900000;53.800000;10.760000
45000;306.100000;375.900000;353.630000;;310.000000;584.800000;483.770000;;5.800000;6.300000;6.120000
46000;307.000000;618.000000;430.510000;;347.800000;520.300000;447.880000;;6.000000;6.700000;6.370000
47000;321.200000;628.800000;483.770000;;318.300000;554.400000;405.060000;;6.400000;10.800000;7.230000
48000;318.900000;599.600000;524.310000;;287.500000;389.700000;365.580000;;6.200000;6.800000;6.530000
49000;320.900000;586.700000;424.550000;;319.900000;576.800000;375.710000;;6.400000;6.900000;6.720000
50000;321.200000;585.800000;405.750000;;322.600000;594.700000;392.410000;;6.300000;7.100000;6.780000
51000;327.500000;608.900000;399.800000;;330.800000;597.700000;415.010000;;6.600000;12.900000;7.530000
52000;295.700000;590.500000;361.580000;;295.600000;618.200000;422.780000;;6.600000;7.400000;7.100000
53000;305.100000;385.800000;351.420000;;284.100000;630.000000;451.450000;;6.700000;7.400000;7.120000
54000;300.000000;405.800000;347.190000;;278.200000;608.500000;445.600000;;6.900000;8.300000;7.400000
55000;314.200000;404.700000;348.540000;;286.100000;638.900000;405.850000;;6.800000;7.700000;7.280000
56000;320.700000;414.700000;342.740000;;279.500000;636.800000;381.500000;;6.900000;8.000000;7.410000
57000;319.900000;412.700000;343.680000;;298.600000;621.500000;380.030000;;7.000000;10.000000;7.760000
58000;316.700000;664.400000;372.620000;;318.600000;627.700000;366.250000;;7.200000;8.200000;7.750000
59000;312.700000;424.000000;332.160000;;278.000000;653.300000;359.990000;;7.200000;8.100000;7.690000
60000;342.000000;665.600000;413.100000;;342.700000;649.900000;388.270000;;7.400000;8.200000;7.830000
61000;318.100000;600.000000;361.580000;;318.700000;606.800000;359.000000;;7.400000;11.200000;8.220000
62000;336.200000;736.900000;391.450000;;332.900000;468.100000;367.230000;;8.000000;9.700000;8.410000
63000;344.500000;490.800000;370.460000;;343.500000;682.200000;401.050000;;7.700000;11.800000;8.520000
64000;334.300000;656.000000;402.250000;;334.000000;424.700000;356.410000;;7.900000;9.900000;8.410000
65000;300.200000;663.300000;346.640000;;300.100000;411.200000;318.050000;;7.900000;8.700000;8.350000
66000;487.500000;612.900000;516.210000;;492.400000;739.400000;540.530000;;8.000000;9.000000;8.450000
67000;495.300000;791.000000;588.560000;;501.400000;662.900000;549.340000;;8.200000;9.000000;8.610000
68000;508.100000;619.700000;553.220000;;492.400000;728.800000;545.320000;;8.200000;9.000000;8.560000
