Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;2.1;4.9;3.72;;1.8;4.6;3.43;;1.5;5.8;3.3
2000;2.2;4.6;3.57;;1.9;5.8;3.77;;1.3;4.5;3.04
3000;2.1;5.5;3.53;;1.5;5.8;2.78;;1.3;4.7;2.57
4000;1.9;5.4;3.64;;1.4;5.8;3.61;;1.4;4;2.68
5000;1.8;5.3;3.37;;1.7;5.8;3.22;;1.4;4.5;2.77
6000;2.4;5.8;3.61;;1.4;4.4;2.85;;1.3;5.5;2.11
7000;2.3;5.7;4.17;;2;7.4;4.06;;1.5;4.3;2.79
8000;2;5.2;3.52;;1.6;4.6;3.13;;1.4;4.4;2.91
9000;2.1;6;3.57;;1.4;4.8;2.82;;1.4;4.5;2.76
10000;1.6;6.3;3.45;;1.4;5.2;2.84;;1.3;4.8;2.28
11000;2.4;5.8;3.77;;2.2;5.6;3.54;;1.3;4.4;2.47
12000;1.6;5.8;3.35;;1.3;5.6;2.79;;1.3;5.9;2.27
13000;1.5;4.9;3.93;;1.3;5.8;3.92;;1.6;4.4;2.88
14000;2;4.2;2.97;;1.4;4.4;2.55;;1.3;3.6;2.19
15000;2.2;6.1;3.78;;1.3;5.9;3;;1.3;4.4;2.07
16000;1.7;4.8;3.4;;1.6;5.1;3.01;;1.6;4.8;2.51
17000;1.7;4.5;3.18;;1.6;4.3;2.43;;1.7;4.6;2.72
18000;2.5;6.7;3.85;;1.5;6.9;3.1;;1.4;5.2;2.77
19000;1.9;4.6;3.26;;1.5;4.3;2.46;;1.3;4.1;1.94
20000;2.1;4.1;3.17;;1.3;6.5;2.91;;1.3;4.6;2.55
21000;1.8;6;3.57;;1.7;5.7;3.02;;1.6;4.4;2.1
22000;1.7;6.5;3.48;;1.4;5.2;2.46;;1.2;6;2.03
23000;1.5;4.8;3.51;;1.3;5.2;2.89;;1.2;4.6;2.58
24000;1.8;6;3.46;;1.3;7;2.92;;1.3;4.7;2.08
25000;1.9;4.5;3.41;;1.6;4.8;3.11;;1.5;4.7;2.46
26000;2.1;5.9;3.54;;1.6;6.1;3.48;;1.6;3.8;2.02
27000;1.6;5.7;3.35;;1.4;5.9;3.27;;1.6;4.5;2.62
28000;1.7;5.8;3.25;;1.6;7.4;2.9;;1.6;5.6;2.69
