Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;0.6;2.9;0.83;;0.5;0.8;0.55;;0.5;0.7;0.54
2000;0.5;0.7;0.58;;0.5;0.6;0.53;;0.5;0.6;0.54
3000;0.5;0.7;0.58;;0.5;0.6;0.52;;0.5;0.6;0.53
4000;0.5;0.7;0.57;;0.5;0.6;0.55;;0.5;0.6;0.53
5000;0.5;0.7;0.58;;0.5;0.6;0.55;;0.5;0.6;0.55
6000;0.5;1.7;0.67;;0.5;0.8;0.56;;0.5;0.6;0.53
7000;0.5;0.7;0.55;;0.5;0.6;0.53;;0.5;0.6;0.51
8000;0.5;0.6;0.57;;0.5;0.6;0.52;;0.5;0.6;0.53
9000;0.5;0.7;0.59;;0.5;0.6;0.53;;0.5;0.6;0.52
10000;0.5;0.6;0.57;;0.5;0.6;0.56;;0.5;0.6;0.56
11000;0.5;0.6;0.55;;0.5;0.6;0.53;;0.5;0.6;0.52
12000;0.5;0.7;0.58;;0.5;0.6;0.55;;0.5;0.6;0.56
13000;0.5;0.6;0.53;;0.5;0.6;0.52;;0.5;0.6;0.52
14000;0.5;0.6;0.56;;0.5;0.6;0.53;;0.5;0.6;0.56
15000;0.5;0.6;0.55;;0.5;0.6;0.52;;0.5;0.6;0.51
16000;0.5;0.6;0.55;;0.5;0.6;0.53;;0.5;0.6;0.54
17000;0.5;0.7;0.6;;0.5;0.6;0.54;;0.5;0.6;0.52
18000;0.5;0.6;0.55;;0.5;0.6;0.53;;0.5;0.6;0.53
19000;0.5;0.6;0.59;;0.5;0.6;0.55;;0.5;0.6;0.55
20000;0.5;0.6;0.59;;0.5;0.6;0.53;;0.5;0.6;0.56
21000;0.5;0.6;0.53;;0.5;0.6;0.53;;0.5;0.6;0.53
22000;0.5;0.6;0.54;;0.5;0.6;0.54;;0.5;0.6;0.53
23000;0.5;0.6;0.56;;0.5;0.6;0.53;;0.5;0.6;0.53
24000;0.5;0.7;0.56;;0.5;0.6;0.53;;0.5;0.6;0.54
25000;0.5;0.7;0.54;;0.5;0.6;0.52;;0.5;0.6;0.52
26000;0.5;0.7;0.58;;0.5;0.6;0.54;;0.5;0.6;0.55
27000;0.5;0.9;0.66;;0.5;0.9;0.64;;0.5;1;0.64
28000;0.5;0.6;0.57;;0.5;0.6;0.55;;0.5;0.6;0.55
29000;0.5;0.6;0.57;;0.5;0.6;0.55;;0.5;0.6;0.55
30000;0.5;0.6;0.56;;0.5;0.6;0.53;;0.5;0.6;0.57
31000;0.5;0.6;0.53;;0.5;0.5;0.5;;0.5;0.6;0.52
32000;0.5;0.6;0.53;;0.5;0.6;0.53;;0.5;0.6;0.52
33000;0.5;0.6;0.53;;0.5;0.5;0.5;;0.5;0.5;0.5
34000;0.5;0.6;0.54;;0.5;0.6;0.51;;0.5;0.5;0.5
35000;0.5;0.6;0.55;;0.5;0.6;0.52;;0.5;0.6;0.51
36000;0.5;0.6;0.54;;0.4;0.6;0.52;;0.5;0.6;0.52
37000;0.5;0.6;0.57;;0.5;0.6;0.51;;0.5;0.6;0.51
38000;0.5;0.6;0.55;;0.5;0.5;0.5;;0.5;0.6;0.51
39000;0.5;0.6;0.55;;0.5;0.6;0.53;;0.4;0.6;0.51
40000;0.5;0.6;0.56;;0.5;0.6;0.52;;0.5;0.6;0.51
41000;0.5;0.6;0.52;;0.5;0.5;0.5;;0.5;0.6;0.52
42000;0.5;0.6;0.53;;0.5;0.6;0.54;;0.5;0.6;0.52
43000;0.5;0.6;0.51;;0.5;0.6;0.52;;0.5;0.6;0.52
44000;0.5;0.6;0.54;;0.5;0.5;0.5;;0.5;0.6;0.51
45000;0.5;0.7;0.55;;0.5;0.6;0.51;;0.5;0.6;0.52
46000;0.5;0.6;0.54;;0.5;0.6;0.52;;0.5;0.6;0.53
47000;0.5;0.6;0.55;;0.5;0.6;0.51;;0.5;0.6;0.53
