Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;9.7;32.9;14.23;;10.6;13.5;12.12;;3.2;9;5.63
2000;37.9;50.9;46.83;;41.8;48.1;46.2;;10.2;20.1;16.2
3000;57.9;82.2;68.62;;57.6;75.8;67.47;;12.2;35.9;22.2
4000;87.3;112.2;95.68;;81.7;126.9;96.61;;20.1;36.8;26.91
5000;91.3;138.5;122.57;;83;140.1;121.43;;17.4;42.7;27.09
6000;118.6;139.2;129.74;;117.6;152.3;133.18;;22;50.6;40.54
7000;117.8;168.3;151.73;;142.1;174.6;159.11;;23.1;73.9;53.35
8000;165.4;194.6;178.93;;161.8;221.8;183.73;;24.7;73.8;48.2
9000;157.6;215.6;199.23;;159.6;231;200.65;;44.9;87.6;61.25
10000;188.4;241.1;219.44;;185.7;228.8;210.35;;16.7;81.8;65.15
11000;201.3;308.4;264.38;;190;285.2;252.35;;28.9;89.9;63.18
12000;228;325;263.3;;224.1;269.6;252.96;;19.2;101.2;53.34
13000;256.7;370.4;286.19;;219;318.9;277.89;;15.2;99;68.22
14000;239.1;324.3;286.69;;227.6;323;284.16;;10.7;92.6;50.85
15000;262.1;342.7;316.78;;214.7;329.6;308.94;;42.9;123.9;75.1
16000;211.9;366.4;315.11;;195.4;344.2;314.96;;33.3;106.4;74.16
17000;252.8;525;355.66;;292.9;399.2;354.53;;45.6;125.8;86.73
18000;330.7;429.7;375.21;;368.2;394;381.06;;50.1;140.2;103.81
19000;240.3;401.2;342.16;;246.1;450.6;376.3;;30.5;217.3;99.68
20000;316.4;491.9;395.36;;325.5;485.4;393.03;;15.1;192.4;108.8
21000;333.2;561.2;449.12;;354.1;665.5;464.51;;16.7;124.7;69.93
22000;274.2;618;464.7;;211.4;503.3;386.87;;23.8;182.3;96.87
23000;327.7;453.1;395.21;;342.3;434.7;377.11;;12.5;156.2;53.33
24000;336;473.1;384.4;;317.3;434.2;368.13;;17.7;155.7;71.67
25000;351.4;534.2;438.8;;303.7;466.6;402.81;;18.4;116.5;49.26
26000;251.6;481.8;402.78;;298.9;490.8;387.68;;18.1;251.6;96.61
27000;314.6;564;438.97;;329.6;710.8;438.46;;24.2;134.1;58.09
28000;277.8;472;398.02;;315.1;521.2;404.45;;8.8;110.9;53.57
29000;348.5;586.2;426.74;;345.9;507.4;434.83;;31.7;176.1;84.76
30000;391.1;543.2;455.5;;420.3;528.9;454.49;;19.6;126.3;59.39
31000;390.6;655;470.94;;367.3;706.6;502.28;;13.8;137.4;73.48
32000;281.9;497.5;408.59;;299.5;582.9;452.24;;9.5;138.7;79.87
33000;305.1;602.3;430.56;;354.8;522.1;433.34;;17.9;147.9;64.94
34000;399.5;493.5;439.22;;409;756.1;481.63;;10.4;218.1;49.95
35000;423.4;620.1;509.72;;421.7;689.2;511.82;;18;147.3;53.66
36000;392.7;550.7;463.8;;384.1;565;462.26;;19.9;139.1;64.78
37000;365.2;586.5;467.06;;414.2;628;490.26;;15.1;176.4;66.07
38000;368.6;628;520.62;;365.4;666.4;505.75;;20.7;208.9;99.91
39000;275.8;585.9;469.08;;332.8;571.1;481.24;;15.8;105.6;42.33
40000;357.2;671.5;493.58;;356.5;554.9;480.53;;16.3;116.5;63.69
41000;414;651.3;496.69;;443.7;582.2;496.13;;16.6;142.5;55.47
42000;407;634.5;530.08;;425;663.4;533.6;;16.9;128;58.29
43000;386.9;718.5;517.71;;355.2;607.9;499.66;;11.4;216.8;60.73
44000;387.6;698.4;565.2;;379.4;749.1;566.66;;17;213.2;67.11
45000;379.2;648.1;518.57;;380;647.6;537.37;;18;174.8;105.14
46000;387.3;662.7;543.52;;364.6;648.1;550.32;;12.3;180.8;98.03
47000;557;662;598.25;;540.9;657.2;609.14;;18.6;242.9;123.25
48000;541.4;705;589.65;;451.7;670.1;583.05;;25.1;263.7;123.19
49000;569.3;894;719.38;;641.2;791.8;706.57;;72.2;211.9;122.87
50000;298.2;966.7;608.5;;293.2;941.8;597.03;;19.5;137.7;66.44
51000;518.4;845.9;654.76;;568.3;776.6;633.98;;21.4;207.1;54.75
52000;503.7;744.5;588.22;;421.7;750.5;579.1;;26.8;173;88.21
53000;373.7;678.7;574.22;;406.8;686.3;550.53;;20.2;245.4;92.96
54000;512.7;776.2;573.45;;523.1;667.9;588.34;;28.4;213.2;86.16
55000;439.3;663;572.07;;474.7;645.5;592.4;;22.5;185.6;94.19
