Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;9.600000;30.000000;12.220000;;9.600000;10.600000;10.050000;;1.100000;2.400000;1.300000
2000;44.700000;90.200000;50.680000;;44.000000;47.100000;45.550000;;5.200000;5.500000;5.370000
3000;68.000000;80.800000;71.840000;;67.100000;74.700000;70.140000;;6.200000;11.600000;7.080000
4000;84.900000;203.100000;109.450000;;83.400000;120.900000;100.050000;;7.600000;12.700000;9.050000
5000;111.800000;160.600000;127.600000;;113.100000;144.900000;125.170000;;9.200000;12.300000;10.320000
6000;124.900000;138.900000;129.340000;;124.600000;180.200000;133.620000;;10.500000;18.600000;11.760000
7000;143.200000;177.600000;164.770000;;141.400000;204.300000;164.300000;;10.800000;21.500000;14.740000
8000;155.900000;241.400000;177.290000;;157.700000;248.700000;171.680000;;13.400000;18.200000;14.250000
9000;181.400000;256.200000;206.460000;;185.900000;260.000000;214.240000;;12.200000;19.900000;15.190000
10000;200.500000;245.400000;212.190000;;202.500000;225.700000;209.070000;;3.100000;4.300000;3.630000
11000;217.600000;301.000000;249.490000;;210.900000;325.100000;250.710000;;7.600000;29.300000;12.050000
12000;201.700000;283.700000;242.460000;;219.300000;306.100000;241.920000;;3.900000;11.900000;6.430000
13000;215.100000;423.400000;287.030000;;222.100000;364.900000;276.050000;;4.000000;13.100000;6.410000
14000;237.300000;335.900000;286.650000;;233.700000;335.000000;285.050000;;3.800000;10.400000;5.910000
15000;305.500000;345.100000;320.220000;;303.100000;335.600000;316.430000;;4.800000;8.800000;5.840000
16000;309.900000;440.900000;334.010000;;312.700000;332.600000;320.440000;;4.300000;7.600000;5.220000
17000;354.700000;424.600000;374.550000;;357.200000;451.000000;379.850000;;3.500000;7.900000;5.130000
18000;362.100000;570.200000;411.610000;;365.400000;456.900000;390.400000;;4.800000;11.100000;6.330000
19000;368.200000;424.600000;387.190000;;368.500000;404.400000;377.750000;;3.300000;8.300000;4.330000
20000;397.200000;500.800000;440.710000;;387.000000;513.800000;424.070000;;3.600000;31.600000;7.850000
21000;396.900000;928.600000;511.310000;;400.400000;701.300000;488.410000;;4.100000;10.900000;6.150000
22000;400.400000;1877.200000;656.540000;;451.400000;4314.300000;951.660000;;7.600000;72.100000;42.120000
23000;360.800000;652.700000;457.860000;;375.200000;513.900000;405.840000;;6.200000;35.400000;11.040000
24000;362.200000;473.400000;401.010000;;369.600000;637.400000;412.830000;;6.600000;22.300000;8.660000
25000;356.600000;518.900000;400.160000;;372.100000;471.800000;393.540000;;6.200000;31.400000;10.080000
26000;333.700000;461.300000;386.050000;;331.900000;484.600000;385.930000;;7.200000;30.600000;9.860000
27000;305.500000;444.600000;357.270000;;307.600000;393.900000;343.370000;;6.300000;30.400000;9.820000
28000;336.000000;441.800000;378.590000;;324.400000;398.000000;357.680000;;5.000000;9.700000;7.370000
29000;323.400000;446.800000;375.260000;;329.900000;435.500000;373.090000;;4.900000;7.000000;5.510000
30000;339.300000;463.700000;390.450000;;335.300000;482.600000;380.180000;;4.600000;6.000000;5.140000
31000;348.400000;451.900000;382.860000;;340.400000;427.300000;386.330000;;7.100000;8.900000;8.260000
32000;434.800000;692.100000;503.970000;;436.000000;654.600000;523.970000;;8.000000;22.400000;10.150000
33000;470.500000;736.700000;524.120000;;481.000000;611.600000;516.060000;;7.800000;54.600000;14.930000
34000;422.500000;663.800000;513.240000;;463.400000;764.100000;556.900000;;8.100000;16.100000;10.340000
35000;425.400000;608.400000;482.980000;;433.200000;558.900000;485.090000;;7.700000;11.500000;9.780000
36000;426.100000;524.700000;456.040000;;420.300000;489.600000;449.740000;;5.600000;10.200000;7.150000
37000;460.900000;532.000000;483.050000;;418.800000;510.900000;456.240000;;5.600000;32.600000;8.940000
38000;467.500000;644.300000;513.630000;;476.800000;588.500000;513.180000;;5.500000;9.200000;6.420000
39000;504.800000;641.800000;557.850000;;507.200000;643.900000;545.870000;;5.800000;46.400000;10.300000
40000;433.800000;603.000000;492.810000;;431.100000;545.800000;476.730000;;5.900000;47.900000;10.940000
41000;459.400000;613.700000;503.030000;;460.800000;539.600000;496.660000;;6.000000;6.700000;6.370000
42000;435.600000;766.200000;541.430000;;582.500000;895.600000;651.580000;;6.500000;17.900000;11.470000
43000;530.500000;653.200000;589.640000;;518.700000;626.400000;566.290000;;8.800000;20.500000;11.950000
44000;485.600000;736.700000;561.370000;;493.500000;795.500000;584.600000;;6.500000;12.600000;9.790000
45000;485.500000;858.700000;591.160000;;479.000000;768.900000;548.200000;;6.400000;12.900000;8.610000
46000;486.000000;646.500000;533.250000;;496.000000;611.800000;528.670000;;6.400000;12.000000;7.660000
47000;537.300000;703.200000;585.190000;;534.100000;721.700000;618.380000;;16.700000;54.700000;26.000000
48000;524.800000;664.300000;565.240000;;499.500000;647.500000;549.140000;;12.600000;15.700000;13.720000
49000;507.100000;630.700000;557.640000;;501.700000;578.600000;532.810000;;12.800000;15.200000;13.590000
50000;507.400000;652.200000;560.160000;;520.000000;641.700000;554.490000;;12.600000;44.500000;16.690000
51000;578.400000;858.200000;639.020000;;559.600000;787.700000;659.050000;;14.800000;28.600000;18.260000
52000;515.600000;817.100000;590.350000;;519.100000;649.500000;563.170000;;13.500000;52.600000;18.320000
53000;618.300000;807.900000;692.630000;;662.000000;995.500000;751.570000;;47.200000;70.600000;56.990000
54000;540.700000;869.700000;638.120000;;556.100000;841.500000;640.740000;;14.000000;59.500000;22.240000
55000;556.000000;914.700000;645.910000;;555.600000;749.400000;639.300000;;14.100000;18.100000;15.520000
56000;581.400000;810.700000;660.050000;;588.800000;779.300000;655.230000;;14.100000;23.600000;16.100000
57000;576.600000;880.400000;637.410000;;573.600000;707.700000;616.480000;;14.200000;16.700000;15.300000
58000;584.800000;833.700000;644.040000;;587.000000;736.900000;638.170000;;14.400000;16.900000;15.400000
59000;618.400000;795.100000;700.390000;;639.600000;882.000000;699.970000;;15.600000;26.800000;18.760000
60000;609.000000;750.900000;652.680000;;607.200000;768.300000;644.880000;;14.700000;44.700000;18.280000
61000;600.300000;782.900000;635.320000;;606.100000;651.300000;629.060000;;14.900000;18.400000;15.960000
62000;619.800000;894.200000;702.430000;;611.000000;994.600000;710.240000;;15.200000;45.500000;21.150000
63000;624.000000;709.800000;658.690000;;628.100000;763.300000;663.720000;;15.400000;17.600000;16.380000
64000;531.200000;680.300000;566.540000;;532.500000;735.600000;585.220000;;15.900000;18.200000;16.520000
65000;756.200000;866.100000;778.160000;;722.800000;805.600000;792.260000;;15.900000;16.700000;16.150000
66000;753.000000;990.600000;797.690000;;741.800000;931.700000;779.490000;;24.300000;42.200000;28.850000
67000;776.200000;884.100000;795.920000;;755.400000;909.700000;781.690000;;24.700000;27.200000;26.020000
68000;792.900000;863.800000;805.200000;;769.000000;914.700000;800.670000;;25.000000;27.200000;26.570000
69000;764.900000;834.700000;778.720000;;757.800000;837.100000;788.780000;;25.100000;69.100000;31.490000
70000;789.900000;844.100000;811.320000;;780.800000;847.500000;804.130000;;25.700000;30.400000;27.660000
71000;779.100000;862.500000;805.060000;;775.400000;834.100000;794.990000;;26.300000;28.500000;27.370000
72000;798.700000;904.500000;834.560000;;804.000000;958.000000;843.990000;;26.700000;29.200000;28.030000
73000;792.400000;1006.500000;821.040000;;800.600000;857.900000;814.590000;;27.100000;42.600000;28.980000
74000;812.400000;938.300000;832.840000;;817.000000;851.900000;826.230000;;27.300000;29.100000;27.910000
75000;949.700000;989.300000;966.390000;;955.100000;992.200000;963.760000;;126.900000;130.600000;128.230000
76000;990.800000;1383.500000;1102.550000;;1002.700000;1377.500000;1101.180000;;132.700000;168.300000;149.320000
77000;959.900000;1426.400000;1060.710000;;980.900000;1328.000000;1055.630000;;146.600000;245.100000;168.840000
78000;981.000000;1058.400000;998.200000;;999.200000;1102.000000;1025.570000;;148.800000;185.800000;160.610000
79000;885.900000;1082.500000;935.690000;;887.000000;1050.600000;930.050000;;29.300000;95.600000;38.500000
80000;951.800000;1171.300000;994.120000;;979.000000;1055.800000;1006.230000;;136.800000;153.000000;148.700000
81000;983.600000;1244.200000;1044.050000;;1044.600000;1347.900000;1121.600000;;74.800000;92.700000;81.240000
82000;891.700000;1012.200000;918.290000;;909.000000;982.000000;937.330000;;19.700000;25.700000;22.260000
83000;972.900000;1170.300000;1001.440000;;1008.300000;1089.200000;1031.740000;;70.500000;75.900000;72.580000
84000;927.100000;1246.200000;975.770000;;928.800000;999.200000;951.640000;;20.400000;24.300000;21.910000
85000;993.900000;1191.400000;1023.280000;;1066.400000;1185.900000;1099.320000;;78.000000;86.800000;81.290000
86000;996.400000;1172.600000;1053.690000;;1053.500000;1419.200000;1127.850000;;63.800000;103.200000;76.610000
87000;981.000000;1223.100000;1051.100000;;1060.500000;1379.400000;1126.600000;;78.800000;121.800000;100.270000
88000;1011.300000;1177.900000;1040.400000;;1085.700000;1129.200000;1100.270000;;96.700000;104.200000;101.170000
89000;941.000000;1197.100000;979.290000;;952.000000;1088.400000;980.890000;;21.300000;23.900000;21.920000
90000;970.500000;1319.100000;1084.110000;;975.200000;1276.600000;1081.730000;;22.000000;30.000000;24.130000
91000;964.200000;1341.500000;1070.810000;;952.500000;1140.600000;1028.920000;;21.800000;34.400000;24.260000
92000;963.100000;1477.900000;1091.270000;;983.500000;1278.000000;1096.330000;;24.800000;57.700000;35.410000
93000;966.300000;1520.400000;1051.230000;;982.100000;1456.200000;1060.650000;;34.800000;59.700000;40.010000
94000;986.400000;1414.300000;1111.340000;;1007.200000;1324.200000;1073.450000;;35.600000;83.800000;44.450000
95000;1071.700000;1844.100000;1300.160000;;1137.600000;1789.000000;1316.350000;;36.900000;94.700000;48.800000
96000;1020.800000;1562.700000;1188.770000;;1030.200000;1423.500000;1123.120000;;36.000000;63.000000;46.280000
97000;1017.300000;1389.100000;1113.180000;;1043.700000;1261.300000;1097.650000;;36.500000;50.300000;41.060000
98000;1044.700000;1918.000000;1166.200000;;1062.600000;1401.700000;1143.420000;;36.900000;64.900000;43.750000
99000;1038.800000;1379.700000;1112.370000;;1057.600000;1236.300000;1103.940000;;36.200000;61.700000;41.710000
100000;1055.500000;1681.300000;1178.190000;;1076.600000;1418.100000;1185.530000;;38.000000;104.500000;51.700000
