Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;8.900000;31.300000;11.550000;;8.700000;9.300000;9.030000;;1.100000;1.300000;1.220000
2000;32.900000;47.300000;36.870000;;36.400000;44.900000;38.340000;;3.600000;4.100000;3.770000
3000;57.000000;77.100000;65.060000;;61.500000;75.800000;70.200000;;4.700000;8.500000;6.740000
4000;66.600000;89.600000;76.870000;;72.700000;109.100000;82.370000;;5.600000;10.700000;6.760000
5000;94.800000;188.700000;119.920000;;99.600000;153.900000;120.710000;;7.300000;11.300000;9.350000
6000;148.100000;181.200000;155.930000;;154.700000;180.300000;166.140000;;10.500000;15.900000;12.270000
7000;123.000000;294.100000;171.530000;;132.500000;245.600000;170.930000;;9.200000;17.500000;12.050000
8000;144.000000;192.000000;153.140000;;150.800000;168.800000;159.030000;;10.100000;13.400000;11.280000
9000;182.000000;323.600000;262.370000;;183.900000;322.500000;255.900000;;14.300000;29.300000;20.180000
10000;197.400000;245.300000;213.550000;;200.900000;241.900000;216.470000;;13.700000;19.100000;15.100000
11000;212.900000;300.000000;227.210000;;212.900000;242.000000;220.050000;;3.200000;4.000000;3.630000
12000;238.700000;269.300000;246.990000;;216.000000;245.900000;224.600000;;6.200000;8.800000;7.040000
13000;213.500000;374.400000;255.560000;;236.900000;396.800000;274.200000;;3.800000;8.900000;4.860000
14000;263.800000;299.600000;271.410000;;221.100000;245.000000;231.040000;;6.400000;9.300000;7.000000
15000;194.600000;325.300000;263.870000;;194.800000;315.400000;251.530000;;4.600000;14.700000;6.370000
16000;258.900000;303.700000;272.660000;;258.700000;332.300000;272.290000;;5.000000;14.400000;6.730000
17000;286.200000;456.300000;350.260000;;288.500000;536.800000;354.410000;;5.100000;10.600000;7.430000
18000;313.100000;475.600000;351.100000;;317.400000;551.300000;356.720000;;5.300000;10.600000;6.870000
19000;307.500000;497.300000;359.500000;;309.400000;517.600000;341.610000;;3.500000;9.500000;5.000000
20000;317.200000;436.200000;361.380000;;319.600000;456.200000;346.080000;;3.500000;8.300000;4.660000
21000;377.700000;630.800000;469.240000;;378.900000;620.200000;463.730000;;3.600000;9.700000;5.590000
22000;365.800000;589.000000;435.320000;;369.900000;554.400000;425.650000;;4.800000;13.900000;7.360000
23000;331.700000;486.500000;376.750000;;337.300000;433.700000;361.920000;;5.500000;14.000000;7.260000
24000;354.300000;502.000000;394.370000;;354.600000;511.700000;391.600000;;6.100000;28.600000;10.460000
25000;348.200000;396.300000;365.430000;;351.000000;417.300000;368.450000;;6.600000;17.200000;8.140000
26000;308.600000;590.900000;370.360000;;309.700000;508.900000;364.600000;;5.700000;26.100000;9.010000
27000;319.800000;514.100000;382.740000;;321.600000;516.700000;370.030000;;6.400000;31.700000;11.650000
28000;322.800000;592.000000;393.000000;;323.500000;495.500000;371.010000;;4.700000;30.700000;8.740000
29000;323.900000;398.100000;352.840000;;329.900000;560.200000;376.320000;;4.600000;5.300000;4.850000
30000;336.800000;485.500000;390.050000;;342.700000;414.500000;370.050000;;4.700000;39.300000;8.630000
31000;325.700000;415.300000;361.520000;;329.200000;439.500000;366.610000;;4.800000;5.400000;5.040000
32000;370.500000;544.900000;449.200000;;341.200000;549.400000;443.540000;;5.000000;21.800000;7.250000
33000;431.500000;585.700000;487.940000;;436.600000;585.700000;494.340000;;7.200000;21.800000;12.060000
34000;423.300000;563.100000;480.340000;;426.500000;648.400000;491.430000;;7.200000;25.300000;10.740000
35000;445.900000;671.400000;511.600000;;446.400000;949.900000;538.530000;;7.800000;44.300000;12.920000
36000;364.600000;722.400000;501.020000;;342.000000;537.500000;474.830000;;8.100000;41.400000;16.070000
37000;413.500000;579.700000;481.010000;;409.000000;568.800000;466.540000;;8.400000;18.200000;11.540000
38000;446.700000;535.400000;491.370000;;456.400000;544.800000;497.050000;;5.800000;16.300000;9.640000
39000;440.700000;547.400000;482.500000;;434.900000;531.400000;483.330000;;5.900000;38.500000;9.790000
40000;421.800000;619.900000;469.510000;;428.500000;539.300000;462.030000;;5.900000;6.900000;6.340000
41000;447.600000;593.100000;488.890000;;438.500000;531.800000;480.120000;;6.000000;28.600000;8.600000
42000;392.200000;651.000000;490.240000;;474.700000;663.700000;526.330000;;6.400000;39.900000;11.290000
43000;426.300000;593.900000;489.360000;;491.900000;760.500000;559.490000;;6.300000;8.300000;7.280000
44000;478.000000;597.800000;525.770000;;466.100000;717.800000;528.880000;;6.300000;11.500000;7.670000
45000;482.800000;647.100000;549.850000;;497.600000;669.500000;553.900000;;6.400000;9.500000;7.730000
46000;485.500000;718.100000;578.820000;;494.800000;665.500000;579.220000;;6.600000;12.000000;8.430000
47000;517.000000;935.200000;597.630000;;532.800000;635.000000;578.120000;;7.600000;19.600000;12.490000
48000;521.000000;677.800000;572.150000;;508.200000;698.600000;592.950000;;10.000000;49.200000;18.850000
49000;502.100000;675.200000;582.340000;;510.000000;715.200000;581.020000;;7.100000;47.500000;12.740000
50000;536.400000;689.100000;596.390000;;530.900000;698.200000;604.800000;;9.700000;32.000000;16.100000
51000;514.300000;659.500000;574.720000;;531.800000;718.900000;583.640000;;7.300000;10.300000;8.290000
52000;542.500000;733.000000;617.680000;;544.100000;722.900000;616.610000;;8.100000;27.400000;14.270000
53000;554.800000;821.400000;646.670000;;570.000000;851.100000;635.680000;;7.800000;12.000000;8.900000
54000;552.200000;816.300000;677.930000;;540.200000;958.500000;671.880000;;7.500000;47.800000;12.350000
55000;566.700000;722.900000;615.620000;;553.600000;702.500000;616.170000;;7.400000;12.900000;9.460000
56000;559.000000;674.800000;606.040000;;559.900000;713.400000;617.960000;;7.700000;10.500000;8.560000
57000;567.000000;742.900000;617.310000;;564.700000;724.800000;624.410000;;7.800000;13.900000;9.350000
58000;585.400000;794.000000;641.990000;;606.100000;815.300000;663.410000;;8.600000;25.800000;14.540000
59000;596.400000;769.400000;640.370000;;594.100000;745.600000;648.700000;;8.000000;22.200000;11.330000
60000;609.800000;742.700000;649.620000;;605.400000;687.400000;644.590000;;7.700000;12.900000;8.850000
61000;593.200000;718.800000;621.690000;;592.800000;724.200000;631.290000;;7.900000;9.600000;8.670000
62000;594.800000;682.500000;631.200000;;609.900000;660.100000;624.900000;;8.000000;9.800000;8.690000
