Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;8.800000;26.600000;10.640000;;8.600000;9.400000;8.880000;;1.100000;1.200000;1.180000
2000;37.800000;47.000000;39.970000;;40.000000;43.800000;41.570000;;3.700000;4.200000;3.920000
3000;56.800000;72.000000;59.880000;;61.100000;63.200000;62.070000;;4.800000;5.500000;5.080000
4000;71.100000;78.800000;72.760000;;74.900000;77.300000;76.550000;;5.900000;6.500000;6.160000
5000;95.100000;114.300000;101.720000;;101.500000;146.200000;111.650000;;7.400000;13.200000;8.440000
6000;106.000000;176.700000;137.430000;;112.700000;225.100000;150.980000;;8.300000;13.500000;9.350000
7000;122.400000;145.400000;126.600000;;131.000000;141.400000;134.210000;;9.800000;10.700000;10.220000
8000;141.000000;175.100000;153.760000;;146.400000;159.800000;154.070000;;10.700000;15.900000;12.490000
9000;170.700000;196.600000;177.860000;;184.600000;197.400000;188.270000;;12.600000;14.500000;13.650000
10000;198.000000;249.400000;213.900000;;213.900000;263.200000;228.650000;;15.800000;20.900000;17.050000
11000;211.300000;223.100000;215.820000;;210.900000;248.900000;217.600000;;3.300000;4.100000;3.560000
12000;240.200000;266.500000;244.500000;;215.000000;224.900000;218.200000;;6.500000;8.100000;6.970000
13000;233.300000;291.200000;247.400000;;213.200000;262.000000;223.170000;;3.600000;4.400000;4.050000
14000;224.400000;398.000000;266.800000;;253.700000;413.100000;288.840000;;3.900000;8.300000;4.890000
15000;243.400000;368.600000;277.690000;;214.500000;313.000000;259.460000;;4.700000;8.800000;7.670000
16000;269.700000;459.700000;314.120000;;272.200000;447.600000;306.440000;;4.800000;12.500000;7.090000
17000;310.200000;434.600000;348.360000;;319.200000;436.900000;348.340000;;4.900000;22.100000;8.120000
18000;349.900000;392.000000;372.610000;;345.600000;374.500000;359.020000;;4.500000;9.600000;6.310000
19000;350.100000;393.800000;365.170000;;349.100000;383.100000;364.370000;;5.500000;10.500000;6.720000
20000;371.700000;469.200000;401.350000;;374.000000;483.400000;393.790000;;6.000000;10.100000;7.070000
21000;351.500000;493.600000;405.690000;;340.700000;502.500000;403.230000;;6.300000;13.200000;8.750000
22000;349.400000;539.300000;400.400000;;348.900000;556.700000;414.300000;;6.000000;16.400000;9.310000
23000;324.300000;450.900000;371.390000;;322.500000;441.400000;352.740000;;6.000000;16.600000;8.060000
24000;308.400000;441.800000;365.930000;;344.600000;407.600000;372.750000;;5.300000;16.000000;7.590000
25000;318.700000;400.000000;349.040000;;316.100000;384.400000;338.160000;;4.200000;24.000000;7.270000
26000;292.100000;403.400000;342.450000;;286.600000;387.400000;329.440000;;4.400000;20.700000;7.680000
27000;331.500000;461.200000;386.170000;;339.000000;447.000000;379.970000;;4.400000;23.700000;6.500000
28000;301.400000;383.900000;335.980000;;291.200000;370.500000;331.560000;;4.700000;26.200000;7.250000
29000;306.100000;501.900000;370.080000;;299.700000;469.300000;360.090000;;6.000000;32.900000;10.960000
30000;359.900000;818.000000;481.760000;;342.200000;615.800000;455.280000;;5.300000;14.800000;10.290000
31000;335.700000;604.100000;455.030000;;366.800000;494.900000;421.140000;;4.900000;56.800000;11.830000
32000;356.700000;527.800000;414.640000;;360.900000;601.100000;430.240000;;5.000000;12.600000;7.280000
33000;429.600000;628.300000;507.550000;;434.200000;610.100000;508.170000;;5.200000;60.500000;12.560000
34000;440.600000;611.400000;509.620000;;442.000000;686.000000;509.060000;;5.300000;16.700000;8.180000
35000;446.300000;542.800000;485.560000;;433.400000;558.300000;491.190000;;7.900000;13.300000;10.050000
36000;299.500000;551.900000;471.390000;;304.100000;615.600000;471.640000;;5.400000;46.300000;10.360000
37000;409.100000;541.100000;449.230000;;402.200000;491.100000;437.060000;;5.500000;9.000000;6.010000
38000;457.300000;568.600000;496.740000;;443.100000;608.500000;502.070000;;5.600000;8.100000;6.230000
39000;445.300000;612.600000;498.330000;;458.700000;563.000000;504.500000;;7.800000;15.800000;10.720000
40000;425.100000;616.400000;502.820000;;421.300000;625.700000;496.270000;;6.200000;13.900000;8.950000
41000;433.100000;662.900000;498.570000;;452.300000;651.000000;496.140000;;6.200000;10.500000;6.830000
42000;383.000000;601.600000;451.030000;;426.200000;547.200000;489.490000;;5.800000;41.300000;9.990000
43000;351.800000;513.700000;426.380000;;355.600000;519.600000;432.350000;;6.200000;9.800000;6.780000
44000;462.400000;642.000000;514.520000;;454.200000;618.500000;528.030000;;6.200000;9.700000;7.000000
45000;479.000000;607.600000;513.230000;;469.700000;604.100000;513.130000;;6.300000;8.400000;6.770000
46000;490.200000;640.100000;558.070000;;488.000000;932.500000;575.590000;;6.900000;21.000000;12.110000
47000;481.800000;660.000000;542.790000;;498.500000;656.200000;541.660000;;6.600000;23.600000;11.000000
48000;481.900000;623.700000;528.960000;;494.600000;600.000000;535.540000;;6.700000;47.900000;12.180000
49000;495.700000;644.800000;555.020000;;500.000000;726.800000;564.980000;;6.700000;47.600000;14.770000
50000;511.900000;703.700000;567.200000;;512.300000;662.000000;554.490000;;6.800000;44.300000;14.210000
51000;528.800000;647.700000;575.250000;;526.400000;682.000000;581.780000;;7.000000;48.100000;15.030000
52000;516.000000;666.500000;578.720000;;524.400000;637.000000;559.780000;;7.300000;44.700000;11.510000
53000;539.700000;715.400000;600.980000;;532.500000;825.800000;610.790000;;7.600000;25.500000;14.160000
54000;556.400000;716.400000;608.060000;;533.500000;730.000000;611.670000;;7.400000;19.000000;12.700000
55000;548.000000;712.800000;599.590000;;540.000000;688.400000;585.350000;;7.400000;12.300000;8.470000
56000;554.900000;757.100000;599.720000;;558.300000;686.100000;590.910000;;7.700000;12.000000;8.730000
57000;557.900000;697.200000;606.870000;;558.200000;699.600000;606.890000;;7.900000;14.500000;9.670000
58000;581.400000;727.300000;641.550000;;575.800000;708.300000;637.030000;;8.300000;14.800000;10.420000
59000;583.800000;802.700000;661.660000;;588.800000;816.900000;678.510000;;8.100000;19.500000;13.790000
60000;595.900000;750.900000;647.720000;;598.000000;762.000000;652.550000;;7.700000;14.000000;9.260000
61000;586.100000;680.500000;621.100000;;588.500000;671.200000;615.180000;;8.300000;10.200000;8.790000
62000;592.300000;715.500000;648.660000;;593.800000;748.100000;658.830000;;8.200000;17.800000;11.270000
63000;618.700000;731.200000;683.520000;;618.900000;789.100000;705.810000;;8.500000;28.700000;13.590000
64000;672.900000;852.700000;726.120000;;643.600000;822.100000;692.490000;;8.400000;95.200000;19.600000
65000;617.300000;817.800000;661.670000;;623.000000;822.300000;657.490000;;8.300000;10.200000;9.100000
66000;719.500000;815.600000;737.680000;;738.300000;802.200000;751.520000;;8.400000;9.200000;8.810000
67000;731.300000;919.300000;784.530000;;751.800000;911.800000;785.740000;;8.700000;15.500000;10.230000
68000;769.500000;842.800000;783.540000;;747.900000;851.300000;774.330000;;9.200000;17.100000;10.690000
69000;757.900000;847.600000;789.830000;;748.300000;891.400000;775.380000;;9.300000;11.500000;10.290000
70000;788.700000;886.100000;818.270000;;770.900000;844.500000;788.010000;;9.300000;11.200000;10.090000
71000;794.300000;915.500000;820.090000;;775.400000;888.300000;804.550000;;9.000000;16.800000;10.690000
72000;823.100000;1097.200000;860.550000;;803.800000;1111.100000;852.270000;;9.200000;13.000000;10.750000
73000;852.700000;1027.600000;914.280000;;840.700000;982.200000;903.080000;;9.300000;22.000000;12.980000
74000;802.500000;1025.300000;850.220000;;822.100000;930.100000;844.870000;;9.300000;10.700000;9.900000
75000;811.600000;973.000000;841.280000;;832.700000;915.800000;848.410000;;9.700000;10.200000;9.960000
76000;837.500000;955.400000;863.150000;;857.200000;917.600000;874.760000;;9.900000;10.100000;9.980000
77000;830.900000;1235.600000;892.190000;;837.800000;1082.900000;872.210000;;10.000000;10.500000;10.160000
78000;847.900000;978.400000;875.730000;;857.000000;900.800000;870.210000;;9.800000;10.700000;10.330000
79000;856.100000;1020.300000;889.080000;;869.800000;903.500000;879.320000;;9.900000;10.500000;10.190000
80000;898.500000;1203.900000;944.970000;;958.700000;1014.100000;984.270000;;50.700000;73.800000;58.520000
81000;987.500000;1312.900000;1044.790000;;954.400000;1215.500000;1011.850000;;10.200000;38.500000;16.570000
82000;920.800000;1059.100000;958.620000;;970.600000;1025.200000;995.300000;;53.800000;76.000000;59.410000
83000;884.800000;1251.200000;943.230000;;889.200000;1058.800000;926.980000;;10.600000;22.800000;13.240000
84000;946.500000;1199.200000;1009.810000;;995.400000;1085.000000;1022.500000;;51.300000;87.200000;58.990000
85000;930.500000;1041.700000;967.960000;;931.900000;1020.800000;958.140000;;10.400000;13.200000;11.780000
86000;972.100000;1273.800000;1014.640000;;1056.900000;1244.600000;1087.790000;;79.800000;103.500000;94.870000
87000;918.400000;1136.200000;967.910000;;919.900000;998.600000;933.970000;;10.700000;11.600000;11.100000
88000;910.100000;1163.100000;978.580000;;928.000000;1116.200000;983.580000;;10.900000;18.100000;12.480000
89000;919.500000;1068.500000;961.880000;;915.700000;1007.800000;945.900000;;11.000000;14.200000;11.850000
90000;958.500000;1155.700000;1004.920000;;978.500000;1029.500000;996.140000;;11.600000;13.500000;12.120000
91000;930.500000;1356.900000;1040.120000;;935.500000;1404.000000;1039.410000;;11.700000;38.500000;16.700000
92000;955.900000;1124.200000;982.410000;;967.800000;1049.400000;982.710000;;12.700000;15.200000;13.870000
